Facility Name,CMS Certification Number (CCN),Alternate CCN,Address,City,State,Zip Code,Network,Measure Name,Mineral Metabolism Measure Score,Mineral Metabolism Reason for No Score (See Footnotes File),State Average Mineral Metabolism Measure Score,National Average Mineral Metabolism Measure Score
CHILDRENS HOSPITAL DIALYSIS,012306,013300,1600 7TH AVENUE SOUTH,BIRMINGHAM,AL,35233,8,MINERAL METABOLISM,9,-,9,9
FMC CAPITOL CITY,012500,-,255 S JACKSON STREET,MONTGOMERY,AL,36104,8,MINERAL METABOLISM,9,-,9,9
GADSDEN DIALYSIS,012501,-,409 SOUTH FIRST STREET,GADSDEN,AL,35901,8,MINERAL METABOLISM,9,-,9,9
TUSCALOOSA UNIVERSITY DIALYSIS,012502,-,220 15TH STREET,TUSCALOOSA,AL,35401,8,MINERAL METABOLISM,10,-,9,9
PCD MONTGOMERY,012505,-,1001 FOREST AVENUE,MONTGOMERY,AL,36106,8,MINERAL METABOLISM,9,-,9,9
DOTHAN DIALYSIS,012506,-,216 GRACELAND DR.,DOTHAN,AL,36305,8,MINERAL METABOLISM,9,-,9,9
FMC MOBILE,012507,-,2620 OLD SHELL RD,MOBILE,AL,36607,8,MINERAL METABOLISM,10,-,9,9
BIRMINGHAM EAST DIALYSIS,012508,-,1105 EAST PARK DRIVE,BIRMINGHAM,AL,35235,8,MINERAL METABOLISM,9,-,9,9
FMC NORTH ALABAMA,012509,-,1311 N MEMORIAL PKWY #200,HUNTSVILLE,AL,35801,8,MINERAL METABOLISM,10,-,9,9
FMC SELMA,012512,-,905 MEDICAL CENTER PARKWAY,SELMA,AL,36701,8,MINERAL METABOLISM,10,-,9,9
FMC LANGDALE,012513,-,8 MEDICAL PARK,VALLEY,AL,36854,8,MINERAL METABOLISM,6,-,9,9
FMC OPELIKA,012515,-,2609 VILLAGE PROFESSIONAL DR STE 2,OPELIKA,AL,36801,8,MINERAL METABOLISM,10,-,9,9
DSI SOUTH DIALYSIS,012516,-,3201 3RD AVE SOUTH,BIRMINGHAM,AL,35222,8,MINERAL METABOLISM,10,-,9,9
DVA HEALTHCARE RENAL CARE INC,012517,-,15953 ATHENS LIMESTONE DRIVE,ATHENS,AL,35613,8,MINERAL METABOLISM,9,-,9,9
FMC SCOTTSBORO,012519,-,20998 JOHN T. REID HWY,SCOTTSBORO,AL,35768,8,MINERAL METABOLISM,10,-,9,9
FMC TROY,012520,-,606 BOTTS AVE,TROY,AL,36081,8,MINERAL METABOLISM,10,-,9,9
DCI DOTHAN,012521,-,1630 COLUMBIA HWY,DOTHAN,AL,36303,8,MINERAL METABOLISM,9,-,9,9
FMC HUNTSVILLE,012522,-,2325 PANSY STREET SUITE C,HUNTSVILLE,AL,35801,8,MINERAL METABOLISM,10,-,9,9
PHENIX CITY DIALYSIS,012523,-,4391 RIVERCHASE DRIVE,PHENIX CITY,AL,36867,8,MINERAL METABOLISM,10,-,9,9
FMC EAST MOBILE,012524,-,1217 GOVERNMENT ST,MOBILE,AL,36604,8,MINERAL METABOLISM,10,-,9,9
FMC WEST MOBILE,012525,-,6601 WALL STREET SUITE A,MOBILE,AL,36695,8,MINERAL METABOLISM,9,-,9,9
RCG PRINCETON,012526,-,708 COTTON AVE SW,BIRMINGHAM,AL,35211,8,MINERAL METABOLISM,5,-,9,9
DCI ENTERPRISE,012527,-,3861 SALEM ROAD,ENTERPRISE,AL,36330,8,MINERAL METABOLISM,10,-,9,9
FMC CAHABA VALLEY,012528,-,120 CAHABA VALLEY PARKWAY SUITE 150,PELHAM,AL,35124,8,MINERAL METABOLISM,10,-,9,9
FLORENCE DIALYSIS,012529,-,422 EAST DR. HICKS BLVD,FLORENCE,AL,35630,8,MINERAL METABOLISM,6,-,9,9
RAI EAST 11TH ST ANNISTON,012530,-,522 EAST 11TH STREET 1ST FLOOR,ANNISTON,AL,36207,8,MINERAL METABOLISM,10,-,9,9
FMC JACKSON (TOMBIGBEE),012531,-,215 WALKER SPRINGS RD,JACKSON,AL,36545,8,MINERAL METABOLISM,10,-,9,9
DCI EUFAULA,012532,-,123 A EAST BARBOUR STREET,EUFAULA,AL,36027,8,MINERAL METABOLISM,10,-,9,9
WALKER COUNTY DIALYSIS,012533,-,260 6TH AVENUE NORTHWEST,JASPER,AL,35504,8,MINERAL METABOLISM,10,-,9,9
BESSEMER KIDNEY CENTER,012534,-,975 9TH AVE SW SUITE 500,BESSEMER,AL,35022,8,MINERAL METABOLISM,10,-,9,9
PCD PRATTVILLE,012535,-,1815 GLYNWOOD DRIVE,PRATTVILLE,AL,36066,8,MINERAL METABOLISM,10,-,9,9
FMC MONTCLAIR,012536,-,7780 LUDINGTON LANE,BIRMINGHAM,AL,35210,8,MINERAL METABOLISM,9,-,9,9
FMC PRICHARD,012537,-,4016 HWY 45,WHISTLER,AL,36613,8,MINERAL METABOLISM,10,-,9,9
RCG ANDALUSIA,012538,-,1208 WEST BYPASS,ANDALUSIA,AL,36420,8,MINERAL METABOLISM,10,-,9,9
