countryName,indicatorName,dataYear,dataValue,displayValue,dataPR,dataSE
"Afghanistan","Access to Credit ","2012","24","24","",""
"Afghanistan","Access to Credit ","2013","36","36","",""
"Afghanistan","Access to Credit ","2014","36","36","",""
"Afghanistan","Access to Credit ","2015","36","36","",""
"Afghanistan","Access to Credit ","2016","36","36","0.634615384615385",""
"Afghanistan","Business Start-Up ","2012","0.9560618","0.956","",""
"Afghanistan","Business Start-Up ","2013","0.9696573","0.97","",""
"Afghanistan","Business Start-Up ","2014","0.9467198","0.947","",""
"Afghanistan","Business Start-Up ","2015","0.9486127","0.949","",""
"Afghanistan","Business Start-Up ","2016","0.962276074847759","0.962","0.865384615384615",""
"Afghanistan","Child Health","2011","49.66580062","49.7","0.307692307692308",""
"Afghanistan","Child Health","2012","49.66580062","49.7","0.307692307692308",""
"Afghanistan","Child Health","2013","49.66580062","49.7","0.307692307692308",""
"Afghanistan","Child Health","2014","49.66580062","49.7","0.307692307692308",""
"Afghanistan","Child Health","2015","49.66580062","49.7","0.307692307692308",""
"Afghanistan","Child Health","2016","49.66580062","49.7","0.307692307692308",""
"Afghanistan","Civil Liberties","2010","15","15","0.192307692307692",""
"Afghanistan","Civil Liberties","2011","13","13","0.188679245283019",""
"Afghanistan","Civil Liberties","2012","16","16","0.169811320754717",""
"Afghanistan","Civil Liberties","2013","15","15","0.188679245283019",""
"Afghanistan","Civil Liberties","2014","13","13","0.150943396226415",""
"Afghanistan","Civil Liberties","2015","14","14","0.207547169811321",""
"Afghanistan","Control of Corruption","2010","-0.82","-0.82","0.0377358490566038","0.2093151807785034"
"Afghanistan","Control of Corruption","2011","-0.68","-0.68","0.0566037735849057","0.2046097218990326"
"Afghanistan","Control of Corruption","2012","-0.49","-0.49","0.0566037735849057","0.2009705752134323"
"Afghanistan","Control of Corruption","2013","-0.57","-0.57","0.0377358490566038","0.1711284220218658"
"Afghanistan","Control of Corruption","2014","-0.46","-0.46","0.150943396226415","0.1730929762125015"
"Afghanistan","Control of Corruption","2015","-0.53","-0.53","0.113207547169811","0.1677716374397278"
"Afghanistan","Fiscal Policy","2010","-1.57966666666667","-1.6","0.7",""
"Afghanistan","Fiscal Policy","2011","-0.509666666666667","-0.5","0.843137254901961",""
"Afghanistan","Fiscal Policy","2012","0.144","0.1","0.901960784313726",""
"Afghanistan","Fiscal Policy","2013","-0.373666666666667","-0.4","0.84",""
"Afghanistan","Fiscal Policy","2014","-0.73","-0.7","0.82",""
"Afghanistan","Fiscal Policy","2015","-1.25866666666667","-1.3","0.82",""
"Afghanistan","Freedom of Information","2012","74","74","",""
"Afghanistan","Freedom of Information","2013","67","67","",""
"Afghanistan","Freedom of Information","2014","62","62","",""
"Afghanistan","Freedom of Information","2015","63","63","",""
"Afghanistan","Freedom of Information","2016","58","58","0.547169811320755",""
"Afghanistan","Gender in the Economy","2010","","","",""
"Afghanistan","Gender in the Economy","2011","","","",""
"Afghanistan","Gender in the Economy","2012","","","",""
"Afghanistan","Gender in the Economy","2013","","","",""
"Afghanistan","Gender in the Economy","2014","","","",""
"Afghanistan","Gender in the Economy","2015","4","4","0.176470588235294",""
"Afghanistan","Gender in the Economy","2016","4","4","0.176470588235294",""
"Afghanistan","Girls' Pri Edu Completion Rate (LIC only)","2011","","","",""
"Afghanistan","Girls' Pri Edu Completion Rate (LIC only)","2012","","","",""
"Afghanistan","Girls' Pri Edu Completion Rate (LIC only)","2013","","","",""
"Afghanistan","Girls' Pri Edu Completion Rate (LIC only)","2014","","","",""
"Afghanistan","Girls' Pri Edu Completion Rate (LIC only)","2015","","","",""
"Afghanistan","Girls' Sec Edu Enrollment Rate (LMIC only)","2011","48.4","48.4","0.5",""
"Afghanistan","Girls' Sec Edu Enrollment Rate (LMIC only)","2012","48.7","48.7","0.466666666666667",""
"Afghanistan","Girls' Sec Edu Enrollment Rate (LMIC only)","2013","47.7","47.7","0.4",""
"Afghanistan","Girls' Sec Edu Enrollment Rate (LMIC only)","2014","48.6","48.6","0.391304347826087",""
"Afghanistan","Girls' Sec Edu Enrollment Rate (LMIC only)","2015","48.6","48.6","0.391304347826087",""
"Afghanistan","Government Effectiveness","2010","-0.54","-0.54","0.134615384615385","0.23167264461517330"
"Afghanistan","Government Effectiveness","2011","-0.57","-0.57","0.132075471698113","0.23339129984378820"
"Afghanistan","Government Effectiveness","2012","-0.43","-0.43","0.207547169811321","0.22382746636867520"
"Afghanistan","Government Effectiveness","2013","-0.48","-0.48","0.226415094339623","0.21874164044857030"
"Afghanistan","Government Effectiveness","2014","-0.43","-0.43","0.245283018867925","0.23131464421749120"
"Afghanistan","Government Effectiveness","2015","-0.40","-0.40","0.264150943396226","0.23067465424537660"
"Afghanistan","Health Expenditures","2009","2.59","2.59","0.714285714285714",""
"Afghanistan","Health Expenditures","2010","2.86","2.86","0.693877551020408",""
"Afghanistan","Health Expenditures","2011","2.08","2.08","0.448979591836735",""
"Afghanistan","Health Expenditures","2012","2.92","2.92","0.745098039215686",""
"Afghanistan","Health Expenditures","2013","2.65","2.65","0.647058823529412",""
"Afghanistan","Health Expenditures","2014","2.93","2.93","0.764705882352941",""
"Afghanistan","Immunization Rates","2010","64","64.0","0.0961538461538462",""
"Afghanistan","Immunization Rates","2011","66","66.0","0.132075471698113",""
"Afghanistan","Immunization Rates","2012","63","63.0","0.113207547169811",""
"Afghanistan","Immunization Rates","2013","65","65.0","0.113207547169811",""
"Afghanistan","Immunization Rates","2014","70.5","70.5","0.245283018867925",""
"Afghanistan","Immunization Rates","2015","73","73.0","0.264150943396226",""
"Afghanistan","Inflation","2010","2.2","2.2","0.78",""
"Afghanistan","Inflation","2011","11.8","11.8","0.285714285714286",""
"Afghanistan","Inflation","2012","6.4","6.4","0.46",""
"Afghanistan","Inflation","2013","7.4","7.4","0.32",""
"Afghanistan","Inflation","2014","4.7","4.7","0.52",""
"Afghanistan","Inflation","2015","-1.5","-1.5","0.98",""
"Afghanistan","Land Rights and Access","2012","0.4623731","0.46","",""
"Afghanistan","Land Rights and Access","2013","0.453003","0.45","",""
"Afghanistan","Land Rights and Access","2014","0.492039","0.49","",""
"Afghanistan","Land Rights and Access","2015","0.5385079","0.54","",""
"Afghanistan","Land Rights and Access","2016","0.605733838500401","0.61","0.274509803921569",""
"Afghanistan","Natural Resource Protection","2011","14.425192882","14.4","0.0943396226415094",""
"Afghanistan","Natural Resource Protection","2012","2.1839971428","2.2","0.0566037735849057",""
"Afghanistan","Natural Resource Protection","2013","2.1839971428","2.2","0.0566037735849057",""
"Afghanistan","Natural Resource Protection","2014","2.1839971428","2.2","0.0377358490566038",""
"Afghanistan","Natural Resource Protection","2015","2.1839971428","2.2","0.0377358490566038",""
"Afghanistan","Natural Resource Protection","2016","2.1839971428","2.2","0.0377358490566038",""
"Afghanistan","Political Rights","2010","10","10","0.307692307692308",""
"Afghanistan","Political Rights","2011","10","10","0.358490566037736",""
"Afghanistan","Political Rights","2012","11","11","0.377358490566038",""
"Afghanistan","Political Rights","2013","11","11","0.377358490566038",""
"Afghanistan","Political Rights","2014","11","11","0.377358490566038",""
"Afghanistan","Political Rights","2015","10","10","0.358490566037736",""
"Afghanistan","Primary Education Expenditures","2011","","","",""
"Afghanistan","Primary Education Expenditures","2012","","","",""
"Afghanistan","Primary Education Expenditures","2013","","","",""
"Afghanistan","Primary Education Expenditures","2014","","","",""
"Afghanistan","Primary Education Expenditures","2015","","","",""
"Afghanistan","Regulatory Quality","2010","-0.71","-0.71","0.115384615384615","0.1860487759113312"
