OBJECTID,FRAREGION,RROWNER1,RROWNER2,TRKRGHTS1,TRKRGHTS2,STRACNET,SIGSYS,PASSNGR,RAIL_TYPE,ABAND_YR,SOURCE,SEGMENT_MILES,FULL_NAME,FULLNAME_ABBR,SHAPE.LEN
4283,8,BNSF, , , , ,MAN, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.52903989,Burlington Northen Santa Fe Railway,BNSF,0.00765908605386011
4284,8,BNSF, , , , ,ABS, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,1.2770586,Burlington Northen Santa Fe Railway,BNSF,0.0264085981942301
4285,8,BNSF, ,AMTK, ,S,CTC,A,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,4.20230945,Burlington Northen Santa Fe Railway,BNSF,0.0790195029672338
4286,8,RRVW, , , , ,Unk, ,A,1999,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.33220564,Red River Valley and Western Railroad,RRVW,0.00702996655719542
4287,8,BNSF, , , , ,Unk, ,A,2002,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.36510247,Burlington Northen Santa Fe Railway,BNSF,0.00783704327340852
4288,8,NPR, ,CPRS, , ,MAN, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,3.53115784,Northern Plains Railroad,NPR,0.0768077192198102
4289,8,DMVW, , , , ,MAN, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,1.4342704,Dakota Missouri Valley and Western Railroad,DMVW,0.0254845686513921
4290,8,RRVW, , , , ,Unk, ,A,1999,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.25170309,Red River Valley and Western Railroad,RRVW,0.00534005791131988
4291,8,BNSF, , , , ,MAN, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.25759024,Burlington Northen Santa Fe Railway,BNSF,0.00472544292211406
4292,8,CPRS, , , , ,TWC, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.15878314,Canadian Pacific Railway,CPRS,0.00293038277690765
4293,8,BNSF, , , , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,1.32111286,Burlington Northen Santa Fe Railway,BNSF,0.023213045737383
4294,8,BNSF, , , , ,MAN, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.02825572,Burlington Northen Santa Fe Railway,BNSF,0.000588552770892296
4295,8,BNSF, , , , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.03994348,Burlington Northen Santa Fe Railway,BNSF,0.000715287888461702
4296,8,BNSF, , , , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.07012114,Burlington Northen Santa Fe Railway,BNSF,0.00150906419319238
4297,8,BNSF, , , , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.17455268,Burlington Northen Santa Fe Railway,BNSF,0.00375729744664842
4298,8,BNSF, , , , ,ABS, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,1.51304171,Burlington Northen Santa Fe Railway,BNSF,0.0325746781824388
4299,8,BNSF, , , , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.03099946,Burlington Northen Santa Fe Railway,BNSF,0.000477694823695003
4300,8,BNSF, , , , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.69774509,Burlington Northen Santa Fe Railway,BNSF,0.0126235496750644
4301,8,BNSF, , , , ,Unk, ,A,1992,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.37592202,Burlington Northen Santa Fe Railway,BNSF,0.00775391064684179
4302,8,SOO, , , , ,Unk, ,A,1995,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.54216573,Soo Line Railroad,SOO,0.0115728966359603
4303,8,DMVW, ,CPRS,BNSF, ,MAN, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.76861019,Dakota Missouri Valley and Western Railroad,DMVW,0.0141497451943013
4304,8,BNSF, ,AMTK, ,S,CTC,A,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.56355143,Burlington Northen Santa Fe Railway,BNSF,0.0120923568193383
4305,8,DMVW, , , , ,MAN, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.05378851,Dakota Missouri Valley and Western Railroad,DMVW,0.001098528049387
4306,8,BNSF, , , , ,ABS, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.1864703,Burlington Northen Santa Fe Railway,BNSF,0.00393345860557221
4307,8,BNSF, , , , ,MAN, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,5.64090889,Burlington Northen Santa Fe Railway,BNSF,0.114866210398408
4308,8,RRVW, , , , ,Unk, ,A,1997,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.09622133,Red River Valley and Western Railroad,RRVW,0.00191727144010281
4309,8, , , , , ,Unk, ,O,0,"Sources contained few attributes; could be from TIGER, NTAD or ND_HUB; used imagery to adjust",0.61959274,Unable to resolve name,Unknown,0.0127518427144378
4310,8,BNSF, , , , ,Unk, ,A,1986,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.19021941,Burlington Northen Santa Fe Railway,BNSF,0.00396208317016503
4311,8,BNSF, , , , ,MAN, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.98149978,Burlington Northen Santa Fe Railway,BNSF,0.0206860674675921
4312,8,BNSF, ,YSVR, , ,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.1221828,Burlington Northen Santa Fe Railway,BNSF,0.00178689630839749
4313,8,BNSF, , , ,S,CTC, ,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,6.0863989,Burlington Northen Santa Fe Railway,BNSF,0.126338993258358
4314,8,BNSF, ,AMTK, , ,ABS,A,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.99263992,Burlington Northen Santa Fe Railway,BNSF,0.0182259153466313
4315,8,BNSF, , , ,S,CTC, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.89233208,Burlington Northen Santa Fe Railway,BNSF,0.0183194886003662
4316,8,BNSF, ,AMTK, ,S,Unk, ,O,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.0831918,Burlington Northen Santa Fe Railway,BNSF,0.00180044785431292
4317,8,BNSF, ,AMTK, , ,ABS,A,M,0,Primary source was TIGER; imagery used for adjustments; NTAD/NDHUB used for additional attributes,0.11318198,Burlington Northen Santa Fe Railway,BNSF,0.00241864679007945
