File Name: JornadaStudy_086_smes_plant_cover_line_data.csv    Last Update: 03/27/2012    By: John P. Anderson
File header updated by Ken Ramsey on 01/23/2013.

Dataset: SMES vegetation line intercept data [Dataset ID: DSL2006014]
Project: Small Mammal Exclosure Study [Project ID: PRL2006022]

date    - Date data was collected [mm/dd/yyyy]
"site    - Site location code [C=Creosotebush, G=Grassland]"
block   - Block Number [1-4]
plot    - Plot number [1-4]
"treatment - Treatment type [C=Control, R=Rodent Exclosuer, L=Laghmorph"
"          Exclosure, B=Bovine Exclosure"
"line    - Line number [Begins at quad 1,3,and 5]"
"spp - Species Code, see SMESSPP.LST for complete species code"
          listing.
intercept   - Distance from beginning of line (0 cm) to beginning of
          perennial species intercept along tape (cm)
id      - Analog cassette tape label
comment_code - Comment code (0=No comment / 1=See data history log)
keyfield - spatial primary key field (specific to Jornada Information Management System [JIMS])
datasetid - old dataset identifier (specific to JIMS)
"POINT_X - x spatial coodinate [NEED COORDINATE SYSTEM, DATUM, PROJECTION SYSTEM, ...] (specific to JIMS)"
"POINT_Y -  y spatial coodinate [NEED COORDINATE SYSTEM, DATUM, PROJECTION SYSTEM, ...] (specific to JIMS)"
table_id - data table id (specific to JIMS)
layer_id - spatial layer id (specific to JIMS)

date,site,block,plot,treatment,line,spp,intercept,id,comment_code,keyfield,datasetid,POINT_X,POINT_Y,table_id,layer_id
11/08/1995,G,1,3,R,1,SOIL,0,SMXVLF95.CS1,0,G131,DSL2006014,-106.8623299,32.59417538,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,1,GUSAD,50,SMXVLF95.CS1,0,G131,DSL2006014,-106.8623299,32.59417538,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,1,SOIL,60,SMXVLF95.CS1,0,G131,DSL2006014,-106.8623299,32.59417538,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,1,GUSAD,280,SMXVLF95.CS1,0,G131,DSL2006014,-106.8623299,32.59417538,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,1,SOIL,310,SMXVLF95.CS1,0,G131,DSL2006014,-106.8623299,32.59417538,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,1,SPSPD,365,SMXVLF95.CS1,1,G131,DSL2006014,-106.8623299,32.59417538,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,1,SOIL,380,SMXVLF95.CS1,0,G131,DSL2006014,-106.8623299,32.59417538,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,1,BOER,460,SMXVLF95.CS1,0,G131,DSL2006014,-106.8623299,32.59417538,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,1,SOIL,490,SMXVLF95.CS1,0,G131,DSL2006014,-106.8623299,32.59417538,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,1,BOER,555,SMXVLF95.CS1,0,G131,DSL2006014,-106.8623299,32.59417538,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,1,SOIL,580,SMXVLF95.CS1,0,G131,DSL2006014,-106.8623299,32.59417538,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,1,GUSAD,670,SMXVLF95.CS1,0,G131,DSL2006014,-106.8623299,32.59417538,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,1,SOIL,685,SMXVLF95.CS1,0,G131,DSL2006014,-106.8623299,32.59417538,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,1,SPFL,835,SMXVLF95.CS1,0,G131,DSL2006014,-106.8623299,32.59417538,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,1,SOIL,855,SMXVLF95.CS1,0,G131,DSL2006014,-106.8623299,32.59417538,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,1,SPFL,905,SMXVLF95.CS1,0,G131,DSL2006014,-106.8623299,32.59417538,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,1,SOIL,920,SMXVLF95.CS1,0,G131,DSL2006014,-106.8623299,32.59417538,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,1,GUSAD,1035,SMXVLF95.CS1,0,G131,DSL2006014,-106.8623299,32.59417538,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,1,SPFL,1050,SMXVLF95.CS1,0,G131,DSL2006014,-106.8623299,32.59417538,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,1,SOIL,1065,SMXVLF95.CS1,0,G131,DSL2006014,-106.8623299,32.59417538,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,1,BOER,1310,SMXVLF95.CS1,0,G131,DSL2006014,-106.8623299,32.59417538,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,1,SOIL,1370,SMXVLF95.CS1,0,G131,DSL2006014,-106.8623299,32.59417538,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,1,SPFL,1470,SMXVLF95.CS1,0,G131,DSL2006014,-106.8623299,32.59417538,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,1,SOIL,1480,SMXVLF95.CS1,0,G131,DSL2006014,-106.8623299,32.59417538,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,1,BOER,1635,SMXVLF95.CS1,0,G131,DSL2006014,-106.8623299,32.59417538,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,1,SOIL,1655,SMXVLF95.CS1,0,G131,DSL2006014,-106.8623299,32.59417538,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,1,GUSA,1840,SMXVLF95.CS1,0,G131,DSL2006014,-106.8623299,32.59417538,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,1,SOIL,1900,SMXVLF95.CS1,0,G131,DSL2006014,-106.8623299,32.59417538,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,1,GUSA,1920,SMXVLF95.CS1,0,G131,DSL2006014,-106.8623299,32.59417538,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,1,SOIL,1945,SMXVLF95.CS1,0,G131,DSL2006014,-106.8623299,32.59417538,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,1,GUSA,1970,SMXVLF95.CS1,0,G131,DSL2006014,-106.8623299,32.59417538,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,1,SOIL,2005,SMXVLF95.CS1,0,G131,DSL2006014,-106.8623299,32.59417538,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,1,GUSAD,2065,SMXVLF95.CS1,0,G131,DSL2006014,-106.8623299,32.59417538,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,1,YUEL,2080,SMXVLF95.CS1,0,G131,DSL2006014,-106.8623299,32.59417538,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,1,SOIL,2140,SMXVLF95.CS1,0,G131,DSL2006014,-106.8623299,32.59417538,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,1,PRGL,2210,SMXVLF95.CS1,0,G131,DSL2006014,-106.8623299,32.59417538,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,1,SOIL,2280,SMXVLF95.CS1,0,G131,DSL2006014,-106.8623299,32.59417538,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,1,GUSAD,2380,SMXVLF95.CS1,0,G131,DSL2006014,-106.8623299,32.59417538,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,1,SOIL,2405,SMXVLF95.CS1,0,G131,DSL2006014,-106.8623299,32.59417538,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,1,BOER,2535,SMXVLF95.CS1,0,G131,DSL2006014,-106.8623299,32.59417538,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,1,SOIL,2620,SMXVLF95.CS1,0,G131,DSL2006014,-106.8623299,32.59417538,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,1,BOER,2780,SMXVLF95.CS1,0,G131,DSL2006014,-106.8623299,32.59417538,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,1,SOIL,2840,SMXVLF95.CS1,0,G131,DSL2006014,-106.8623299,32.59417538,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,3,BOER,0,SMXVLF95.CS1,0,G133,DSL2006014,-106.8622217,32.59412466,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,3,SOIL,50,SMXVLF95.CS1,0,G133,DSL2006014,-106.8622217,32.59412466,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,3,BOER,280,SMXVLF95.CS1,0,G133,DSL2006014,-106.8622217,32.59412466,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,3,SOIL,370,SMXVLF95.CS1,0,G133,DSL2006014,-106.8622217,32.59412466,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,3,BOER,390,SMXVLF95.CS1,0,G133,DSL2006014,-106.8622217,32.59412466,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,3,GUSA,485,SMXVLF95.CS1,0,G133,DSL2006014,-106.8622217,32.59412466,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,3,SOIL,525,SMXVLF95.CS1,0,G133,DSL2006014,-106.8622217,32.59412466,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,3,BOER,565,SMXVLF95.CS1,0,G133,DSL2006014,-106.8622217,32.59412466,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,3,SOIL,580,SMXVLF95.CS1,0,G133,DSL2006014,-106.8622217,32.59412466,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,3,BOER,595,SMXVLF95.CS1,0,G133,DSL2006014,-106.8622217,32.59412466,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,3,SOIL,610,SMXVLF95.CS1,0,G133,DSL2006014,-106.8622217,32.59412466,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,3,BOER,745,SMXVLF95.CS1,0,G133,DSL2006014,-106.8622217,32.59412466,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,3,SOIL,760,SMXVLF95.CS1,0,G133,DSL2006014,-106.8622217,32.59412466,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,3,ARPU,790,SMXVLF95.CS1,0,G133,DSL2006014,-106.8622217,32.59412466,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,3,SOIL,795,SMXVLF95.CS1,0,G133,DSL2006014,-106.8622217,32.59412466,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,3,BOER,840,SMXVLF95.CS1,0,G133,DSL2006014,-106.8622217,32.59412466,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,3,SOIL,895,SMXVLF95.CS1,0,G133,DSL2006014,-106.8622217,32.59412466,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,3,BOER,1000,SMXVLF95.CS1,0,G133,DSL2006014,-106.8622217,32.59412466,100-086-1.1,210-086-1.1
11/08/1995,G,1,3,R,3,SOIL,1015,SMXVLF95.CS1,0,G133,DSL2006014,-106.8622217,32.59412466,100-086-1.1,210-086-1.1
