id,title,description,attribution,"data_fields.Publisher","data_fields.tags","data.data_organization","data.data_filename"
"000201bb-1991-4165-aef5-b4f3510dc744","IDEA Part C Section 618 Table 2 Program Settings, 2012","IDEA Part C Section 618 Table 2 Program Settings, 2012 (IDEA Part C Table 2 2012), is a study that is part of the IDEA Part C program; program data is available since 2006 at . IDEA Part C Table 2 2012 is a cross-sectional universe report that collected counts of infants and toddlers with disabilities in each state who (a) are served under IDEA Part C, (b) are served in different program settings, and (c) exit Part C because of program completion or for other reasons. States submitted the report in spreadsheet form by mail or electronically by e-mail. Key statistics produced from IDEA Part C Table 2 2012 provide insights on the demographics of children served under IDEA Part C, service settings, referral to preschool or other services, and personnel providing early intervention services.","IDEA Part C Section 618 Table 2 Program Settings, 2012 (https://catalog.data.gov/dataset/000201bb-1991-4165-aef5-b4f3510dc744) is licensed under CC0 1.0 (https://creativecommons.org/publicdomain/zero/1.0/)","Office of Special Education Programs","[""early-intervention-services"",""education-of-individuals-with-disabilities"",""idea-part-c"",""infants-and-toddlers""]","Department of Education","31a14619b98cf1e7897bea04bf356bc2fe47d28afadeb61187e1dce4a2f8f61a.text.csv"
"000f1c44-a0b8-402f-8d4b-a4b66dfb7734","College Scorecard","College Scorecards make it easier for students to search for a college that is a good fit for them. They can use the College Scorecard to find out more about a college's affordability and value so they can make more informed decisions about which college to attend.","College Scorecard (https://catalog.data.gov/dataset/000f1c44-a0b8-402f-8d4b-a4b66dfb7734) is licensed under CC0 1.0 (https://creativecommons.org/publicdomain/zero/1.0/)","Office of Planning, Evaluation, and Policy Development","[""college"",""college-affordability"",""college-completion"",""debt"",""education"",""enrollment-size"",""location"",""post-college-earnings"",""programs-or-majors-offered"",""repayment"",""scorecard"",""student-tools""]","[""Department of Education"",""Department of Education"",""Department of Education"",""Department of Education""]","[""73b806218db3cf169636ef369a17b592d2ce03cb8ba368ffb3a2124fd2d71027.text.csv"",""4cdf836ce0c5aa3a44559dc548401e779ef8ef1fa002ba39b7ccc11ec56c176e.text.csv"",""5c62d336d636757b628c3e4303525bd2639a28967d3d7f1d92baa5f517ace6dd.text.csv"",""1e08e4508e452b2521eb0893d563864bd04e8f9666b3d9ce7d6412c75b1698ae.text.csv""]"
"002bac18-83d5-4759-b0fe-b43d464d2934","Boiler Permits","This data set pertains to all permits to operate boilers. Data includes details on application/permit numbers, job addresses, supervisorial districts, and the current status of the applications. Data is uploaded weekly by DBI. Users can access permit information online through DBI’s Permit Tracking System which is 24/7 at www.sfdbi.org/dbipts.","Boiler Permits (https://catalog.data.gov/dataset/002bac18-83d5-4759-b0fe-b43d464d2934) is licensed under PDDL (https://opendatacommons.org/licenses/pddl/1.0/)","data.sfgov.org","construction-permits","[""City of San Francisco"",""City of San Francisco"",""City of San Francisco"",""City of San Francisco""]","[""16c959754401f6c9db9839cf2943c4d151224114ec4f8da9271340af0b2b7a07.text.csv"",""a979e9bf61914df8d36afe25d40d1cd7bbcc42918776242242d144fd892bed0e.application.rdf+xml"",""c5deeeea9486a9fcda8c28df00850238ee0d862c71d29e105ca5e420b8350abe.application.json"",""95337fc401c26b3e2749c0d96ec30b62eaccf1501089e5c411b3a99a69d3a05b.text.xml""]"
"002ece58-9603-43f1-8e2e-54e3d9649e84","Urban Environment & Transit 2010","Baltimore City is home to many green spaces, parks, and waterways. Some of the more widely recognized locations include the Inner Harbor, Middle Branch, Druid Hill , Gwynns Falls and Herring Run Parks. City residents in particular value access to green spaces as a place to recreate, exercise and congregate, but the City��_��s green spaces serve a vital role in ensuring clean air and water for long term urbansustainability. Baltimore neighborhoods actively participate in increasing access to green spaces through tree planting and other watershed protection activities such as stream clean-ups. Urban living also enables residents the option to choose alternative means of transportation to reduce vehicle miles traveled by car. The City is already served by numerous modes of mass transit including MARC, metro, light rail, the Charm City Circulator, and bus lines. BNIA-JFI tracks eight indicators to measure the City��_��s urban environment and transit. These indicators are categorized into the following categories: air quality and hazardous waste; tree canopy, alternative transportation mode use; and travel time to work.","Urban Environment & Transit 2010 (https://catalog.data.gov/dataset/002ece58-9603-43f1-8e2e-54e3d9649e84) is licensed under CC BY 3.0 (https://creativecommons.org/licenses/by/3.0/)","data.baltimorecity.gov","[""census"",""environment"",""transit""]","[""City of Baltimore"",""City of Baltimore"",""City of Baltimore"",""City of Baltimore""]","[""b2509c91d881ccfe3401e5859fe1f0a3fe72d271c522fed5be5611742a57e4db.text.csv"",""1a2ce4074fb8483781182d2b991bde9c83a3db4b68e165e3ff069750eaf71b24.application.rdf+xml"",""7d66c0bf381cd1178962bbe0f0fc655061bb3a9b590ef47cf00a3ef8720e62a8.application.json"",""b4ac91effee3897e8dbc447138732bc42ee0099bb7dea666fdeb99f10eb30c5a.text.xml""]"
"00362226-4418-41e2-bf0c-a1c7ee194e91","Generalized Rivers, Streams, and Shorelines","The data set portrays the line water features (streams and shorelines) of North Dakota. This data set was formerly distributed as Hydrography Features of the United States. This is a revised version of the November 1999 data set.
   Constraints:
   Not to be used for navigation, for informational purposes only. See full disclaimer for more information","Generalized Rivers, Streams, and Shorelines (https://catalog.data.gov/dataset/00362226-4418-41e2-bf0c-a1c7ee194e91) is licensed under CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)","State Water Commission","[""environment"",""hydrography"",""inlandwater"",""river"",""shoreline"",""stream"",""water""]","State of North Dakota","0fd1659ace6df7adcbaa467d13f6e40ead09bf9d3120bdd966b75198655c2758.text.csv"
"00373575-0619-4330-99ee-5125679fd247","SFEC Form 114.5 - Behested Contributions Received by Certain Committees - Filings","Under San Francisco Campaign & Governmental Conduct Code Section 1.114.5(b)(2), any ballot measure committee or committee making independent expenditures that receives contributions totaling $5,000 or more in a calendar year at the behest of a City elective officer shall file Form 114.5. “At the behest of” means under the control or at the direction of, in cooperation, consultation, coordination, or concert with, at the request or suggestion of, or with the express, prior consent of. However, a contribution is not made at the behest of a public official solely because the official requested the contribution via television, radio, billboard, a public message on an online platform, the distribution of 200 or more identical pieces of printed material, the distribution of a single email to 200 or more recipients, or a speech to a group of 20 or more individuals.

The committee must file Form 114.5 no later than the deadline to file the semi-annual or pre-election campaign statement that must report the contribution that makes the cumulative total $5,000 or more. For more information visit www.sfethics.org.

Each row on this table represents the contents of a Form 114.5 filed with the Ethics Commission. There is one sub-tables of information on Form 114.5: Itemized Contributions. The sub-table is available in a separate dataset: ""SFEC Form 114.5 - Behested Contributions Received by Certain Committees - Contributions"" at https://data.sfgov.org/City-Management-and-Ethics/SFEC-Form-114-5-Behested-Contributions-Received-by/mq45-f9zi. Join this dataset with the sub-table using the DocuSignID.","SFEC Form 114.5 - Behested Contributions Received by Certain Committees - Filings (https://catalog.data.gov/dataset/00373575-0619-4330-99ee-5125679fd247) is licensed under PDDL (https://opendatacommons.org/licenses/pddl/1.0/)","data.sfgov.org","[]","[""City of San Francisco"",""City of San Francisco"",""City of San Francisco"",""City of San Francisco""]","[""2c642e34a044d6f119437e24b5eab9f26252871930766f115c4d9cba2d55980d.text.csv"",""51590bced073978368baa693598a5d5405883fe2298cfd187982c7699bba87b4.application.rdf+xml"",""fb93de429464fc0afe0c2de18c267a1dc17253bf3794a91dd22fd4d32712c684.application.json"",""8c4ddfb0275d468f63782b1189cf9e181d663a90b77d52ec5ec9ff84b6c3f519.text.xml""]"
"00423fd4-9269-424c-952a-b9e60d627213","Utility Excavation Moratorium Streets","Street segments and intersections that have been paved within the last 5 years","Utility Excavation Moratorium Streets (https://catalog.data.gov/dataset/00423fd4-9269-424c-952a-b9e60d627213) is licensed under PDDL (https://opendatacommons.org/licenses/pddl/1.0/)","data.sfgov.org","[""5_"",""excavation"",""five"",""moratorium"",""paving"",""permits"",""plan"",""utilities"",""year""]","[""City of San Francisco"",""City of San Francisco"",""City of San Francisco"",""City of San Francisco""]","[""4567985e7d373898da37064582e29adad79ef012747b282b4a2cbe666d9cb76c.text.csv"",""661507a0f0a9e0d5deb5a25dd546c05d516a6a40b55b31f52693a70bfcc99cfa.application.rdf+xml"",""8eff0f5c0358807b56a9d46a6adbfaf484cbf8621120fe8081309fe05e4c8bcb.application.json"",""846498c6b0e7a81ff7006ca894dd0335a5b2ed598bdc819ace2b704145f78848.text.xml""]"
"00649185-a3fe-4dc4-8180-c34a43eab3dc","Soil Conservation Districts","A Soil Conservation District is a local unit of government organized under authority of the North Dakota Soil Conservation District Law. A soil conservation district has established boundaries, usually along county lines, that have the authority to conduct surveys, investigations and research relating to soil erosion and the prevention and control measures needed.
   Constraints:
   Not to be used for navigation, for informational purposes only. See full disclaimer for more information and see additional constraints in the Use Limitations in the full metadata.","Soil Conservation Districts (https://catalog.data.gov/dataset/00649185-a3fe-4dc4-8180-c34a43eab3dc) is licensed under CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)","ND GIS Hub","[""boundary"",""conservation"",""district"",""environment"",""federal"",""soil""]","State of North Dakota","95275d714087109db5626d17c9d25a5a442ccd1c52551700907ee8b056cbefe0.text.csv"
"00788455-1a8b-4e1e-8e46-1ae819e97c48","Historic Resources","A - historic resource present
   B - unknown
   C - historic resource not present","Historic Resources (https://catalog.data.gov/dataset/00788455-1a8b-4e1e-8e46-1ae819e97c48) is licensed under PDDL (https://opendatacommons.org/licenses/pddl/1.0/)","data.sfgov.org","[""ceqa"",""gis"",""historic"",""map"",""planning"",""preservation"",""shapefile""]","[""City of San Francisco"",""City of San Francisco""]","[""fc61201f3fce2d04390ac41b3328105028ce453b01e7ff5b7d2a9c5127e24603.application.json"",""6f278cc42072906e291085d965c6abaf9a7f48370f925f072dffd3d6cfd156bf.text.csv""]"
"0078cec7-0536-4bef-a907-7d9fe542ee64","LAPD - Annual High Level Metrics - GOVSTAT - Archived","Contains rolled up annual","LAPD - Annual High Level Metrics - GOVSTAT - Archived (https://catalog.data.gov/dataset/0078cec7-0536-4bef-a907-7d9fe542ee64) is licensed under CC0 1.0 (https://creativecommons.org/publicdomain/zero/1.0/)","data.lacity.org","[""crime"",""lapd"",""police"",""response"",""response-time""]","[""City of Los Angeles"",""City of Los Angeles"",""City of Los Angeles"",""City of Los Angeles""]","[""a3221df9778f3764905a1e8110e0162446e55c1ef6fc6b457440198c6c279a50.text.csv"",""42420d2d8376f5801b5da09b863fb1d635d56d1a504c8bd4e588e7a20576193a.application.rdf+xml"",""a97e85bbc2cfa0a4f55f0569fc4a9e133fc751b31e7e27932c230f3c16cb3be5.application.json"",""fdcae131f335668e455cb76b4db4c1610ad536cbb24bb48185185e71ea3ea72d.text.xml""]"
