id,title,description,attribution,publisher,tags,data_organization,filename,col_semantics,col_names
000201bb-1991-4165-aef5-b4f3510dc744,"IDEA Part C Section 618 Table 2 Program Settings, 2012","IDEA Part C Section 618 Table 2 Program Settings, 2012 (IDEA Part C Table 2 2012), is a study that is part of the IDEA Part C program; program data is available since 2006 at . IDEA Part C Table 2 2012 is a cross-sectional universe report that collected counts of infants and toddlers with disabilities in each state who (a) are served under IDEA Part C, (b) are served in different program settings, and (c) exit Part C because of program completion or for other reasons. States submitted the report in spreadsheet form by mail or electronically by e-mail. Key statistics produced from IDEA Part C Table 2 2012 provide insights on the demographics of children served under IDEA Part C, service settings, referral to preschool or other services, and personnel providing early intervention services.","IDEA Part C Section 618 Table 2 Program Settings, 2012 (https://catalog.data.gov/dataset/000201bb-1991-4165-aef5-b4f3510dc744) is licensed under CC0 1.0 (https://creativecommons.org/publicdomain/zero/1.0/)",Office of Special Education Programs,"[early-intervention-services,education-of-individuals-with-disabilities,idea-part-c,infants-and-toddlers]",Department of Education,31a14619b98cf1e7897bea04bf356bc2fe47d28afadeb61187e1dce4a2f8f61a.text.csv,"['year', 'state', 'area', 'rank', 'area', 'rank', 'area', 'age', 'age', 'age', 'age', 'depth', 'state', 'sales', 'age', 'family', 'area', 'age', 'area', 'age', 'location', 'area', 'rank', 'age', 'weight', 'age', 'age', 'status', 'status', 'area', 'age', 'age', 'age', 'status']","['Year', 'State', 'Setting', 'Birth to 1', ' 1 to 2 ', '2 to 3', 'Birth thru 2 - Total', '3 to 4', ' 4 to 5', '5 or older', ' 3 or older -  Total', 'Birth thru 2 - HI', 'Birth thru 2 - AM', 'Birth thru 2 - AS', 'Birth thru 2 - BL', 'Birth thru 2 - PI', ' Birth thru 2 -  WH', ' Birth thru 2 - MU', ' Birth thru 2 - RE Total', '3 or Older - HI', ' 3 or Older - AM', ' 3 or Older - AS', '3 or Older - BL', '3 or Older  - PI', '3 or Older - WH', '3 or Older - MU', '3 or Older - RE Total', 'Birth thru 2 - Male', 'Birth thru 2 - Female', 'Birth thru 2 - Gender Total', '3 or Older - Male', '3 or Older - Female', '3 or Older - Gender Total', 'Cumulative Count - Ages Birth through 2']"
000f1c44-a0b8-402f-8d4b-a4b66dfb7734,College Scorecard,College Scorecards make it easier for students to search for a college that is a good fit for them. They can use the College Scorecard to find out more about a college's affordability and value so they can make more informed decisions about which college to attend.,College Scorecard (https://catalog.data.gov/dataset/000f1c44-a0b8-402f-8d4b-a4b66dfb7734) is licensed under CC0 1.0 (https://creativecommons.org/publicdomain/zero/1.0/),"Office of Planning, Evaluation, and Policy Development","[college,college-affordability,college-completion,debt,education,enrollment-size,location,post-college-earnings,programs-or-majors-offered,repayment,scorecard,student-tools]","[Department of Education,Department of Education,Department of Education,Department of Education]","[73b806218db3cf169636ef369a17b592d2ce03cb8ba368ffb3a2124fd2d71027.text.csv,4cdf836ce0c5aa3a44559dc548401e779ef8ef1fa002ba39b7ccc11ec56c176e.text.csv,5c62d336d636757b628c3e4303525bd2639a28967d3d7f1d92baa5f517ace6dd.text.csv,1e08e4508e452b2521eb0893d563864bd04e8f9666b3d9ce7d6412c75b1698ae.text.csv]",['duration'] ['position'],['UNITID'] ['UNITID']
002bac18-83d5-4759-b0fe-b43d464d2934,Boiler Permits,"This data set pertains to all permits to operate boilers. Data includes details on application/permit numbers, job addresses, supervisorial districts, and the current status of the applications. Data is uploaded weekly by DBI. Users can access permit information online through DBI’s Permit Tracking System which is 24/7 at www.sfdbi.org/dbipts.",Boiler Permits (https://catalog.data.gov/dataset/002bac18-83d5-4759-b0fe-b43d464d2934) is licensed under PDDL (https://opendatacommons.org/licenses/pddl/1.0/),data.sfgov.org,construction-permits,"[City of San Francisco,City of San Francisco,City of San Francisco,City of San Francisco]","[16c959754401f6c9db9839cf2943c4d151224114ec4f8da9271340af0b2b7a07.text.csv,a979e9bf61914df8d36afe25d40d1cd7bbcc42918776242242d144fd892bed0e.application.rdf+xml,c5deeeea9486a9fcda8c28df00850238ee0d862c71d29e105ca5e420b8350abe.application.json,95337fc401c26b3e2749c0d96ec30b62eaccf1501089e5c411b3a99a69d3a05b.text.xml]","['address', 'symbol', 'duration', 'age', 'rank', 'region', 'address', 'state', 'status', 'status', 'area', 'weight', 'code', 'company', 'status', 'day', 'code', 'position', 'age', 'weight', 'duration', 'age']","['Permit Number', 'Application Date', 'Block', 'Lot', 'Street Number', 'Street Number Suffix', 'Street Name', 'Street Suffix', 'Description', 'Status', 'Neighborhoods - Analysis Boundaries', 'Supervisor District', 'Boiler Serial Number', 'Boiler Type', 'Removal Date', 'Expiration Date', 'Model', 'the_geom', 'SF Find Neighborhoods', 'Current Police Districts', 'Current Supervisor Districts', 'Analysis Neighborhoods']"
002ece58-9603-43f1-8e2e-54e3d9649e84,Urban Environment & Transit 2010,"Baltimore City is home to many green spaces, parks, and waterways. Some of the more widely recognized locations include the Inner Harbor, Middle Branch, Druid Hill , Gwynns Falls and Herring Run Parks. City residents in particular value access to green spaces as a place to recreate, exercise and congregate, but the City��_��s green spaces serve a vital role in ensuring clean air and water for long term urbansustainability. Baltimore neighborhoods actively participate in increasing access to green spaces through tree planting and other watershed protection activities such as stream clean-ups. Urban living also enables residents the option to choose alternative means of transportation to reduce vehicle miles traveled by car. The City is already served by numerous modes of mass transit including MARC, metro, light rail, the Charm City Circulator, and bus lines. BNIA-JFI tracks eight indicators to measure the City��_��s urban environment and transit. These indicators are categorized into the following categories: air quality and hazardous waste; tree canopy, alternative transportation mode use; and travel time to work.",Urban Environment & Transit 2010 (https://catalog.data.gov/dataset/002ece58-9603-43f1-8e2e-54e3d9649e84) is licensed under CC BY 3.0 (https://creativecommons.org/licenses/by/3.0/),data.baltimorecity.gov,"[census,environment,transit]","[City of Baltimore,City of Baltimore,City of Baltimore,City of Baltimore]","[b2509c91d881ccfe3401e5859fe1f0a3fe72d271c522fed5be5611742a57e4db.text.csv,1a2ce4074fb8483781182d2b991bde9c83a3db4b68e165e3ff069750eaf71b24.application.rdf+xml,7d66c0bf381cd1178962bbe0f0fc655061bb3a9b590ef47cf00a3ef8720e62a8.application.json,b4ac91effee3897e8dbc447138732bc42ee0099bb7dea666fdeb99f10eb30c5a.text.xml]","['area', 'region', 'position', 'day', 'area', 'result', 'region', 'duration']","['CSA2010', 'trav14m10', 'trav29m10', 'trav44m10', 'trav45m10', 'nocar10', 'transit10', 'otherm10']"
00362226-4418-41e2-bf0c-a1c7ee194e91,"Generalized Rivers, Streams, and Shorelines","The data set portrays the line water features (streams and shorelines) of North Dakota. This data set was formerly distributed as Hydrography Features of the United States. This is a revised version of the November 1999 data set.
   Constraints:
   Not to be used for navigation, for informational purposes only. See full disclaimer for more information","Generalized Rivers, Streams, and Shorelines (https://catalog.data.gov/dataset/00362226-4418-41e2-bf0c-a1c7ee194e91) is licensed under CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)",State Water Commission,"[environment,hydrography,inlandwater,river,shoreline,stream,water]",State of North Dakota,0fd1659ace6df7adcbaa467d13f6e40ead09bf9d3120bdd966b75198655c2758.text.csv,"['rank', 'status', 'city', 'region', 'name', 'class', 'position', 'result', 'address']","['OBJECTID', 'FLOW_TYPE', 'FEAT_TYPE', 'FEAT_MOD', 'NAME', 'NAME_2ND', 'DRAW', 'LABEL', 'SHAPE.LEN']"
00423fd4-9269-424c-952a-b9e60d627213,Utility Excavation Moratorium Streets,Street segments and intersections that have been paved within the last 5 years,Utility Excavation Moratorium Streets (https://catalog.data.gov/dataset/00423fd4-9269-424c-952a-b9e60d627213) is licensed under PDDL (https://opendatacommons.org/licenses/pddl/1.0/),data.sfgov.org,"[5_,excavation,five,moratorium,paving,permits,plan,utilities,year]","[City of San Francisco,City of San Francisco,City of San Francisco,City of San Francisco]","[4567985e7d373898da37064582e29adad79ef012747b282b4a2cbe666d9cb76c.text.csv,661507a0f0a9e0d5deb5a25dd546c05d516a6a40b55b31f52693a70bfcc99cfa.application.rdf+xml,8eff0f5c0358807b56a9d46a6adbfaf484cbf8621120fe8081309fe05e4c8bcb.application.json,846498c6b0e7a81ff7006ca894dd0335a5b2ed598bdc819ace2b704145f78848.text.xml]","['address', 'address', 'address', 'address', 'day', 'year', 'day', 'county', 'address', 'address', 'address', 'address', 'description']","['CNN', 'Streetname', 'Limits', 'JobOrderNum', 'EffectiveDate', 'ExpirationDate', 'ModifiedDate', 'ID', 'X', 'Y', 'Latitude', 'Longitude', 'Location']"
00942ea0-2f79-47dd-b597-a510f1299577,Outpatient and Ambulatory Surgery Consumer Assessment of Healthcare Providers and Systems (OAS CAHPS) survey for ambulatory surgical centers - Facility,A list of ambulatory surgical center ratings for the Outpatient and Ambulatory Surgery Consumer Assessment of Healthcare Providers and Systems (OAS CAHPS) survey. The data are updated and reported each quarter with data from the most recently completed quarter replacing the oldest quarter of data. The data reporting period is included in the tables.,Outpatient and Ambulatory Surgery Consumer Assessment of Healthcare Providers and Systems (OAS CAHPS) survey for ambulatory surgical centers - Facility (https://catalog.data.gov/dataset/00942ea0-2f79-47dd-b597-a510f1299577) is licensed under U.S. Government Work (http://www.usa.gov/publicdomain/label/1.0/),Centers for Medicare & Medicaid Services,"[hospital-compare,patientsurveyresults]","[U.S. Department of Health & Human Services,U.S. Department of Health & Human Services,U.S. Department of Health & Human Services]","[ad0d99b6606c88f21c2c30b3b69c0311299ae785f4f3fd1f9aa66f9b436d4e33.text.csv,744ad223e9e9bb4d97469d4aa90dea0a82ed7be8b4737a5064c715b7a97f335a.application.rdf+xml,c6b7a20ca743823098249f97044f84cff223d547f2dba7d720d4d76c389ae985.application.json]","['address', 'name', 'address', 'city', 'state', 'address', 'region', 'area', 'state', 'area', 'status', 'age', 'age', 'duration', 'category', 'age', 'age', 'sales', 'weight', 'age', 'age', 'age', 'weight', 'age', 'region', 'area', 'ranking', 'age', 'region', 'album']","['Facility ID', 'Facility Name', 'Address', 'City', 'State', 'Zip Code', 'County', 'Telephone', 'Patients who reported that staff definitely gave care in a professional way and the facility was clean', 'Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean', 'Patients who reported that staff did not give care in a professional way or the facility was not clean', 'Facilities and staff linear mean score', 'Patients who reported that staff definitely communicated about what to expect during and after the procedure', 'Patients who reported that staff somewhat communicated about what to expect during and after the procedure', 'Patients who reported that staff did not communicate about what to expect during and after the procedure', 'Communication about your procedure linear mean score', 'Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)', 'Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)', 'Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)', 'Patients’ rating of the facility linear mean score', 'Patients who reported YES they would DEFINITELY recommend the facility to family or friends', 'Patients who reported PROBABLY YES they would recommend the facility to family or friends', 'Patients who reported NO, they would not recommend the facility to family or friends', 'Patients recommending the facility linear mean score', 'Footnote', 'Number of Sampled Patients', 'Number of Completed Surveys', 'Survey Response Rate Percent', 'Start Date', 'End Date']"
00a195a9-53ec-4d03-9a24-538f79195277,Pothole Tracking,Potholes reported and filled by the the Department of Public works.,Pothole Tracking (https://catalog.data.gov/dataset/00a195a9-53ec-4d03-9a24-538f79195277) is licensed under PDDL (https://opendatacommons.org/licenses/pddl/1.0/),data.providenceri.gov,"[paving,safety,transportation]","[City of Providence,City of Providence,City of Providence,City of Providence]","[1e985f4ae5f898ec905025e9a62b044741eb0bb7bab78d65727400822cbd8134.text.csv,c423ca8e147865c24ddf0e8c0721d758643f3cf8d5e8cca02d7084f88e1324db.application.rdf+xml,cdca743c2a40fa569edc51a7e278ecb529bfdb7df76eb1d1f9fbb5ef231cfe85.application.json,2bf85b847be12be23352eb1d1704820d674e82f5a1222b9bd4c2c6799e01d5b6.text.xml]","['name', 'rank', 'description', 'gender', 'region', 'region', 'position', 'status', 'location']","['Location', 'Ward', 'Date Reported', 'Date Filled', 'Potholes Reported', 'Entity Responsible:', 'Total Filled', 'Status', 'Geolocation']"
015176bf-b144-4884-a0dd-f06da5312dbc,Data from: Changes in genetic selection differentials and generation intervals in US Holstein dairy cattle as a result of genomic selection,"Aggregate means for six traits (milk, fat, and protein yields, somatic cell score, length of productive life, and daughter pregnancy rate)",Data from: Changes in genetic selection differentials and generation intervals in US Holstein dairy cattle as a result of genomic selection (https://catalog.data.gov/dataset/015176bf-b144-4884-a0dd-f06da5312dbc) is licensed under CC0 1.0 (https://creativecommons.org/publicdomain/zero/1.0/),USDA NAL,"[bulls,cows,dairy-cattle,genetic-improvement,genetic-traits,genetic-trend,heritability,holstein,marker-assisted-selection,milk,np101,sires]","[Department of Agriculture,Department of Agriculture,Department of Agriculture,Department of Agriculture,Department of Agriculture,Department of Agriculture,Department of Agriculture]","[98ce9727dca72dc7e3092edecefd7cc9abd4b01df06ee08e44b05f9caeebbefd.text.csv,96cfa7899dd95d27d49240be36665790181a3c70622bd2a347825781f23d15d1.text.csv,98cb4a27aa64896cdd382f0feca306ea4b75cdba749484777d858311ed6c612f.text.csv,8c9537601542125bad1eeb56e79e5738eaec2d5c3e274cb5c2cd05d650af2a2b.text.csv,bf7ab48ae25613ba77247822c194948416470186bec9e0524812848a5ea49e8a.text.csv,db559c07f3abec1d82407a2cf760305f6f10b0ff0cc146e2841167398b31dabd.text.csv,8d1b91e2b21dd7f3cc3454359dc2c6dba9620aa0a9da24baaea618b9b32c082d.text.csv]","['year', 'position', 'position', 'position', 'state', 'address', 'position', 'position', 'position', 'position', 'region', 'region', 'position', 'address', 'position', 'position', 'region', 'region', 'position', 'area', 'duration', 'area', 'duration', 'ranking', 'year', 'position', 'position', 'region', 'position', 'address', 'position', 'address', 'position', 'position', 'position', 'region', 'address', 'address', 'code', 'code', 'region', 'position', 'address', 'ranking', 'area', 'position', 'code', 'rank', 'year', 'position', 'position', 'position', 'position', 'address', 'position', 'name', 'name', 'position', 'region', 'region', 'position', 'address', 'position', 'position', 'region', 'region', 'position', 'rank', 'area', 'year', 'rank', 'code', 'year', 'position', 'position', 'position', 'position', 'address', 'name', 'address', 'isbn', 'address', 'isbn', 'region', 'address', 'address', 'rank', 'position', 'region', 'region', 'address', 'weight', 'rank', 'weight', 'region', 'rank', 'year', 'position', 'address', 'name', 'address', 'position', 'position', 'position', 'name', 'position', 'position', 'position', 'address', 'position', 'position', 'name', 'isbn', 'region', 'position', 'region', 'isbn', 'year', 'position', 'address', 'position', 'address', 'ranking', 'rank', 'code', 'rank', 'year', 'position', 'address', 'region', 'address', 'address'] ['type', 'area', 'description', 'format', 'rank', 'area', 'type', 'language'] ['year', 'position', 'position', 'position', 'region', 'address', 'position', 'position', 'position', 'region', 'position', 'state', 'position', 'address', 'position', 'position', 'region', 'state', 'code', 'area', 'duration', 'area', 'duration', 'ranking', 'year', 'position', 'position', 'position', 'position', 'address', 'position', 'address', 'position', 'position', 'position', 'position', 'address', 'address', 'position', 'position', 'region', 'region', 'address', 'ranking', 'area', 'position', 'code', 'rank', 'year', 'position', 'position', 'position', 'position', 'address', 'position', 'position', 'position', 'position', 'position', 'position', 'position', 'address', 'position', 'position', 'region', 'region', 'position', 'rank', 'area', 'year', 'rank', 'code', 'year', 'position', 'position', 'position', 'position', 'address', 'position', 'address', 'position', 'address', 'region', 'region', 'address', 'address', 'position', 'rank', 'position', 'position', 'address', 'weight', 'rank', 'weight', 'region', 'rank', 'year', 'position', 'address', 'position', 'address', 'position', 'position', 'position', 'position', 'region', 'position', 'position', 'address', 'position', 'position', 'position', 'position', 'position', 'position', 'position', 'region', 'year', 'position', 'address', 'position', 'address', 'ranking', 'rank', 'code', 'rank', 'year', 'position', 'address', 'region', 'address', 'address']","['yob1', 'W_HO_PTA_scs_SB', 'UW_HO_PTA_scs_SB', 'T_W_HO_PTA_scs_SB', 'T_UW_HO_PTA_scs_SB', 'HO_ptascs_RegCow_1', 'W_HO_SD_scs_SB', 'W_BY1_HO_SD_scs_SB', 'UW_HO_SD_scs_SB', 'UW_BY1_HO_SD_scs_SB', 'T_W_HO_SD_scs_SB', 'T_UW_HO_SD_scs_SB', 'W_BY1_HO_PTA_scs_SB', 'HO_ptascs_RegCow_4', 'W_HO_REL_scs_SB', 'UW_HO_REL_scs_SB', 'T_W_HO_REL_scs_SB', 'T_UW_HO_REL_scs_SB', 'W_BY1_HO_REL_scs_SB', 'W_HO_NUM_PTA_SB', 'UW_HO_NUM_PTA_SB', 'T_W_HO_NUM_PTA_SB', 'T_UW_HO_NUM_PTA_SB', 'W_BY1_HO_NUM_PTA_SB', 'yob2', 'W_HO_PTA_scs_SC', 'UW_HO_PTA_scs_SC', 'T_W_HO_PTA_scs_SC', 'T_UW_HO_PTA_scs_SC', 'HO_ptascs_RegCow_2', 'W_HO_SD_scs_SC', 'W_BY1_HO_SD_scs_SC', 'UW_HO_SD_scs_SC', 'UW_BY1_HO_SD_scs_SC', 'T_W_HO_SD_scs_SC', 'T_UW_HO_SD_scs_SC', 'W_BY1_HO_PTA_scs_SC', 'HO_ptascs_RegCow_5', 'W_HO_REL_scs_SC', 'UW_HO_REL_scs_SC', 'T_W_HO_REL_scs_SC', 'T_UW_HO_REL_scs_SC', 'W_BY1_HO_REL_scs_SC', 'W_HO_NUM_PTA_SC', 'UW_HO_NUM_PTA_SC', 'T_W_HO_NUM_PTA_SC', 'T_UW_HO_NUM_PTA_SC', 'W_BY1_HO_NUM_PTA_SC', 'yob3', 'W_HO_PTA_scs_DB', 'UW_HO_PTA_scs_DB', 'T_W_HO_PTA_scs_DB', 'T_UW_HO_PTA_scs_DB', 'HO_ptascs_RegCow_3', 'W_HO_SD_scs_DB', 'W_BY1_HO_SD_scs_DB', 'UW_HO_SD_scs_DB', 'UW_BY1_HO_SD_scs_DB', 'T_W_HO_SD_scs_DB', 'T_UW_HO_SD_scs_DB', 'W_BY1_HO_PTA_scs_DB', 'HO_ptascs_RegCow_6', 'W_HO_REL_scs_DB', 'UW_HO_REL_scs_DB', 'T_W_HO_REL_scs_DB', 'T_UW_HO_REL_scs_DB', 'W_BY1_HO_REL_scs_DB', 'W_HO_NUM_PTA_DB', 'UW_HO_NUM_PTA_DB', 'T_W_HO_NUM_PTA_DB', 'T_UW_HO_NUM_PTA_DB', 'W_BY1_HO_NUM_PTA_DB', 'yob4', 'W_HO_PTA_scs_DC', 'UW_HO_PTA_scs_DC', 'T_W_HO_PTA_scs_DC', 'T_UW_HO_PTA_scs_DC', 'HO_ptascs_AllCow_1', 'W_HO_SD_scs_DC', 'W_BY1_HO_SD_scs_DC', 'UW_HO_SD_scs_DC', 'UW_BY1_HO_SD_scs_DC', 'T_W_HO_SD_scs_DC', 'T_UW_HO_SD_scs_DC', 'W_BY1_HO_PTA_scs_DC', 'HO_ptascs_AllCow_2', 'W_HO_REL_scs_DC', 'UW_HO_REL_scs_DC', 'T_W_HO_REL_scs_DC', 'T_UW_HO_REL_scs_DC', 'W_BY1_HO_REL_scs_DC', 'W_HO_NUM_PTA_DC', 'UW_HO_NUM_PTA_DC', 'T_W_HO_NUM_PTA_DC', 'T_UW_HO_NUM_PTA_DC', 'W_BY1_HO_NUM_PTA_DC', 'yob5', 'W_BY1_HO_SD_scs_SB_1', 'W_BY1_HO_SD_scs_SC_1', 'W_BY1_HO_SD_scs_DB_1', 'W_BY1_HO_SD_scs_DC_1', 'W_HO_SD_scs_SB_1', 'W_HO_SD_scs_SC_1', 'W_HO_SD_scs_DB_1', 'W_HO_SD_scs_DC_1', 'UW_BY1_HO_SD_scs_SB_1', 'UW_BY1_HO_SD_scs_SC_1', 'UW_BY1_HO_SD_scs_DB_1', 'UW_BY1_HO_SD_scs_DC_1', 'UW_HO_SD_scs_SB_1', 'UW_HO_SD_scs_SC_1', 'UW_HO_SD_scs_DB_1', 'UW_HO_SD_scs_DC_1', 'T_W_HO_SD_scs_SB_1', 'T_W_HO_SD_scs_SC_1', 'T_W_HO_SD_scs_DB_1', 'T_W_HO_SD_scs_DC_1', 'yob6', 'GenInt_SB', 'GenInt_SC', 'GenInt_DB', 'GenInt_DC', 'nGI_SB', 'nGI_SC', 'nGI_DB', 'nGI_DC', 'yob7', 'UW_BY1_HO_PTA_scs_SB', 'HO_ptascs_RegCow_7', 'HO_numscs_RegCow', 'HO_ptascs_AllCow_3', 'HO_numscs_AllCow'] ['Data files that contain the variable sub-component', 'Variable sub-component', 'Definition / example col. header', 'Data type of col. (variable)', 'Character length', 'Accepted values', 'Required?', 'Accepts null value?'] ['yob1', 'W_HO_PTA_m_SB', 'UW_HO_PTA_m_SB', 'T_W_HO_PTA_m_SB', 'T_UW_HO_PTA_m_SB', 'HO_ptam_RegCow_1', 'W_HO_SD_m_SB', 'W_BY1_HO_SD_m_SB', 'UW_HO_SD_m_SB', 'UW_BY1_HO_SD_m_SB', 'T_W_HO_SD_m_SB', 'T_UW_HO_SD_m_SB', 'W_BY1_HO_PTA_m_SB', 'HO_ptam_RegCow_4', 'W_HO_REL_m_SB', 'UW_HO_REL_m_SB', 'T_W_HO_REL_m_SB', 'T_UW_HO_REL_m_SB', 'W_BY1_HO_REL_m_SB', 'W_HO_NUM_PTA_SB', 'UW_HO_NUM_PTA_SB', 'T_W_HO_NUM_PTA_SB', 'T_UW_HO_NUM_PTA_SB', 'W_BY1_HO_NUM_PTA_SB', 'yob2', 'W_HO_PTA_m_SC', 'UW_HO_PTA_m_SC', 'T_W_HO_PTA_m_SC', 'T_UW_HO_PTA_m_SC', 'HO_ptam_RegCow_2', 'W_HO_SD_m_SC', 'W_BY1_HO_SD_m_SC', 'UW_HO_SD_m_SC', 'UW_BY1_HO_SD_m_SC', 'T_W_HO_SD_m_SC', 'T_UW_HO_SD_m_SC', 'W_BY1_HO_PTA_m_SC', 'HO_ptam_RegCow_5', 'W_HO_REL_m_SC', 'UW_HO_REL_m_SC', 'T_W_HO_REL_m_SC', 'T_UW_HO_REL_m_SC', 'W_BY1_HO_REL_m_SC', 'W_HO_NUM_PTA_SC', 'UW_HO_NUM_PTA_SC', 'T_W_HO_NUM_PTA_SC', 'T_UW_HO_NUM_PTA_SC', 'W_BY1_HO_NUM_PTA_SC', 'yob3', 'W_HO_PTA_m_DB', 'UW_HO_PTA_m_DB', 'T_W_HO_PTA_m_DB', 'T_UW_HO_PTA_m_DB', 'HO_ptam_RegCow_3', 'W_HO_SD_m_DB', 'W_BY1_HO_SD_m_DB', 'UW_HO_SD_m_DB', 'UW_BY1_HO_SD_m_DB', 'T_W_HO_SD_m_DB', 'T_UW_HO_SD_m_DB', 'W_BY1_HO_PTA_m_DB', 'HO_ptam_RegCow_6', 'W_HO_REL_m_DB', 'UW_HO_REL_m_DB', 'T_W_HO_REL_m_DB', 'T_UW_HO_REL_m_DB', 'W_BY1_HO_REL_m_DB', 'W_HO_NUM_PTA_DB', 'UW_HO_NUM_PTA_DB', 'T_W_HO_NUM_PTA_DB', 'T_UW_HO_NUM_PTA_DB', 'W_BY1_HO_NUM_PTA_DB', 'yob4', 'W_HO_PTA_m_DC', 'UW_HO_PTA_m_DC', 'T_W_HO_PTA_m_DC', 'T_UW_HO_PTA_m_DC', 'HO_ptam_AllCow_1', 'W_HO_SD_m_DC', 'W_BY1_HO_SD_m_DC', 'UW_HO_SD_m_DC', 'UW_BY1_HO_SD_m_DC', 'T_W_HO_SD_m_DC', 'T_UW_HO_SD_m_DC', 'W_BY1_HO_PTA_m_DC', 'HO_ptam_AllCow_2', 'W_HO_REL_m_DC', 'UW_HO_REL_m_DC', 'T_W_HO_REL_m_DC', 'T_UW_HO_REL_m_DC', 'W_BY1_HO_REL_m_DC', 'W_HO_NUM_PTA_DC', 'UW_HO_NUM_PTA_DC', 'T_W_HO_NUM_PTA_DC', 'T_UW_HO_NUM_PTA_DC', 'W_BY1_HO_NUM_PTA_DC', 'yob5', 'W_BY1_HO_SD_m_SB_1', 'W_BY1_HO_SD_m_SC_1', 'W_BY1_HO_SD_m_DB_1', 'W_BY1_HO_SD_m_DC_1', 'W_HO_SD_m_SB_1', 'W_HO_SD_m_SC_1', 'W_HO_SD_m_DB_1', 'W_HO_SD_m_DC_1', 'UW_BY1_HO_SD_m_SB_1', 'UW_BY1_HO_SD_m_SC_1', 'UW_BY1_HO_SD_m_DB_1', 'UW_BY1_HO_SD_m_DC_1', 'UW_HO_SD_m_SB_1', 'UW_HO_SD_m_SC_1', 'UW_HO_SD_m_DB_1', 'UW_HO_SD_m_DC_1', 'T_W_HO_SD_m_SB_1', 'T_W_HO_SD_m_SC_1', 'T_W_HO_SD_m_DB_1', 'T_W_HO_SD_m_DC_1', 'yob6', 'GenInt_SB', 'GenInt_SC', 'GenInt_DB', 'GenInt_DC', 'nGI_SB', 'nGI_SC', 'nGI_DB', 'nGI_DC', 'yob7', 'UW_BY1_HO_PTA_m_SB', 'HO_ptam_RegCow_7', 'HO_numm_RegCow', 'HO_ptam_AllCow_3', 'HO_numm_AllCow']"
01722181-bce2-4796-94b4-1d46b594191d,Clinical Episode-Based Payment - National,"The 6 Clinical Episode-Based Payment (CEBP) Measures (Conditions: Cellulitis, Kidney/Urinary Tract Infection, Gastrointestinal Hemorrhage; Procedures: Aortic Aneurysm, Spinal Fusion, Cholecystectomy and Common Duct Exploration) show whether Medicare spends more, less, or about the same on an episode of care for a Medicare patient treated in a specific inpatient hospital compared to how much Medicare spends on an episode of care for the respective condition or procedure across all inpatient hospitals nationally. This measure takes into account important factors like patient age and health status (risk adjustment) and geographic payment differences (payment-standardization).",Clinical Episode-Based Payment - National (https://catalog.data.gov/dataset/01722181-bce2-4796-94b4-1d46b594191d) is licensed under U.S. Government Work (http://www.usa.gov/publicdomain/label/1.0/),Centers for Medicare & Medicaid Services,"[clinical-episode-based-payment,hospital-compare,medicare-payment,payment-and-value-of-care]","[U.S. Department of Health & Human Services,U.S. Department of Health & Human Services,U.S. Department of Health & Human Services]","[86fe8357e861853c04e92ec55a41f18e022205705a85da5dbe93e2fd990f1460.text.csv,f6e023245f094a481051e54d790aaa9260a24421e9e738323b01f7e19210cb8b.application.rdf+xml,0b9e1204cd216863363c8a0f4be6817a7d7801a9c6e90bf225cd067f20dc6c68.application.json]","['description', 'classification', 'weight', 'address', 'address', 'address']","['Rate_Performance', 'MEASURE ID', 'VALUE', 'NAT_MEDIAN', 'START_DATE', 'END_DATE']"
