index_set,field_set,query_id,query,nDCG@5,nDCG@10,nDCG@50,p@5,p@10,p@50,r@5,r@10,r@50,result,search_score,not_found,rel_docs
1,semantic_only,DS1-E-0001,oysters dislike east coast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],"[('32ad3d15-3877-4085-8908-d8948f267f81', 1.0), ('3650ba52-cd6e-4f1c-b19a-dc751bd14f73', 1.0), ('574f759f-dd54-4874-a149-87b41c19a64c', 1.0), ('b02eacd3-21b8-488c-9c52-bcc771c04634', 1.0), ('d20a2b9d-ae93-4b74-a921-d562b0639d0d', 2.0), ('e7ae2d31-a677-4f47-be2d-c4f27eeaec7b', 1.0), ('f29e8dcb-b7d8-4a17-a034-a563a8d89d23', 1.0), ('f4601f25-6237-47f5-98b5-bd56be35c02e', 1.0), ('fb95fd60-a933-4523-be63-3c6d4bf3195a', 1.0)]","[('32ad3d15-3877-4085-8908-d8948f267f81', 1.0), ('3650ba52-cd6e-4f1c-b19a-dc751bd14f73', 1.0), ('574f759f-dd54-4874-a149-87b41c19a64c', 1.0), ('b02eacd3-21b8-488c-9c52-bcc771c04634', 1.0), ('d20a2b9d-ae93-4b74-a921-d562b0639d0d', 2.0), ('e7ae2d31-a677-4f47-be2d-c4f27eeaec7b', 1.0), ('f29e8dcb-b7d8-4a17-a034-a563a8d89d23', 1.0), ('f4601f25-6237-47f5-98b5-bd56be35c02e', 1.0), ('fb95fd60-a933-4523-be63-3c6d4bf3195a', 1.0)]"
1,semantic_only,DS1-E-0002,science students increasing humanities students decreasing data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],"[('05f019e6-48a1-4e87-9c5e-61e920db2fb2', 1.0), ('06aede0a-6b2f-44f2-b8e6-20a0fba9460b', 1.0), ('0c3900b4-3b8e-4421-bf49-b21dc7f7a2a1', 1.0), ('32e8c902-4510-4a65-b7b9-5587281f2b24', 1.0), ('4390538d-a871-4187-99d8-348736cac6d8', 1.0), ('536ac4d3-4e3f-4fb4-95db-54eef3dedd3c', 1.0), ('683a1afb-4ed9-4d95-a496-9a85109f912f', 1.0), ('6a299299-d7fe-425d-805a-34819278a251', 1.0), ('6f61cf1a-ec44-49a3-8e00-c6123d7389ee', 1.0), ('74df254d-193e-4de7-aaf4-0d5f5b306e84', 1.0), ('86ed1fda-1602-40dc-aec0-e935eedbb6d0', 1.0), ('97acffe8-ecbe-4819-b802-24886c8a9f49', 1.0), ('aa3bf9f4-1832-4d27-b2e9-7b928546c339', 1.0), ('c219f4cf-30f4-4ca1-b3a6-7a55f5a95c52', 1.0), ('cfd9fb08-ac9e-4cf6-a894-6e5fefce1708', 1.0), ('f36a7c58-a3bf-4d4c-9478-922f53622a80', 1.0), ('ff5ec6cc-a621-49f6-911f-9f06b3a65916', 2.0)]","[('05f019e6-48a1-4e87-9c5e-61e920db2fb2', 1.0), ('06aede0a-6b2f-44f2-b8e6-20a0fba9460b', 1.0), ('0c3900b4-3b8e-4421-bf49-b21dc7f7a2a1', 1.0), ('32e8c902-4510-4a65-b7b9-5587281f2b24', 1.0), ('4390538d-a871-4187-99d8-348736cac6d8', 1.0), ('536ac4d3-4e3f-4fb4-95db-54eef3dedd3c', 1.0), ('683a1afb-4ed9-4d95-a496-9a85109f912f', 1.0), ('6a299299-d7fe-425d-805a-34819278a251', 1.0), ('6f61cf1a-ec44-49a3-8e00-c6123d7389ee', 1.0), ('74df254d-193e-4de7-aaf4-0d5f5b306e84', 1.0), ('86ed1fda-1602-40dc-aec0-e935eedbb6d0', 1.0), ('97acffe8-ecbe-4819-b802-24886c8a9f49', 1.0), ('aa3bf9f4-1832-4d27-b2e9-7b928546c339', 1.0), ('c219f4cf-30f4-4ca1-b3a6-7a55f5a95c52', 1.0), ('cfd9fb08-ac9e-4cf6-a894-6e5fefce1708', 1.0), ('f36a7c58-a3bf-4d4c-9478-922f53622a80', 1.0), ('ff5ec6cc-a621-49f6-911f-9f06b3a65916', 2.0)]"
1,semantic_only,DS1-E-0003,road length over the years,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],"[('0e7a4bf8-6334-4471-90ea-8c66742e1efe', 1.0), ('32ad3d15-3877-4085-8908-d8948f267f81', 2.0), ('539e4fef-499a-4167-b248-45de392a3a86', 1.0), ('5d604287-07c1-4b8b-82ab-1bf7d2eefda3', 1.0), ('6acc210b-7c38-4f8c-9e41-b56715a1c70c', 1.0), ('e06c6124-d059-470f-898b-eb7533f37ca7', 1.0)]","[('0e7a4bf8-6334-4471-90ea-8c66742e1efe', 1.0), ('32ad3d15-3877-4085-8908-d8948f267f81', 2.0), ('539e4fef-499a-4167-b248-45de392a3a86', 1.0), ('5d604287-07c1-4b8b-82ab-1bf7d2eefda3', 1.0), ('6acc210b-7c38-4f8c-9e41-b56715a1c70c', 1.0), ('e06c6124-d059-470f-898b-eb7533f37ca7', 1.0)]"
1,semantic_only,DS1-E-0004,domestic self salt rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],"[('2f1b645d-5b85-48f5-a139-7d7e06d9d277', 1.0), ('37349b2e-ae22-441e-a792-32e09e753c26', 1.0), ('4637cd59-a2c1-4b40-a359-99546b801c42', 2.0), ('616139db-fee0-4650-b4e8-341654adc557', 1.0), ('72c960e9-61d7-45e1-9de4-8b72fcc36456', 1.0), ('7a25ce99-ab7f-48c7-bcba-ff70f0c5e7ee', 1.0), ('996c6799-eaf6-4d96-b419-2b122b2080d7', 1.0), ('a042c8e3-2f5d-476b-8633-080b6ff07496', 1.0), ('a9d4573e-35d1-491f-ad04-4d39271fcc9d', 1.0), ('ac73e539-7d85-4149-8f5d-b50f2ec018cc', 2.0), ('ae15f3b9-e9a7-4cfa-902f-b495e0f71173', 1.0), ('b254ff21-e539-4b23-9872-cdf67558485f', 1.0), ('b978dc11-de98-434e-9537-866ce7c21cd8', 1.0), ('c67cd68a-19ab-4713-8eb2-6b2e90d747da', 1.0), ('d0b40a5f-0d82-4008-ab75-6dda1836df6d', 1.0), ('d76cf733-44c7-4ca8-9ccb-21f7cfa656c6', 1.0), ('f06fc4c9-17c3-4c6a-acbb-a0d0f0ebd641', 1.0)]","[('2f1b645d-5b85-48f5-a139-7d7e06d9d277', 1.0), ('37349b2e-ae22-441e-a792-32e09e753c26', 1.0), ('4637cd59-a2c1-4b40-a359-99546b801c42', 2.0), ('616139db-fee0-4650-b4e8-341654adc557', 1.0), ('72c960e9-61d7-45e1-9de4-8b72fcc36456', 1.0), ('7a25ce99-ab7f-48c7-bcba-ff70f0c5e7ee', 1.0), ('996c6799-eaf6-4d96-b419-2b122b2080d7', 1.0), ('a042c8e3-2f5d-476b-8633-080b6ff07496', 1.0), ('a9d4573e-35d1-491f-ad04-4d39271fcc9d', 1.0), ('ac73e539-7d85-4149-8f5d-b50f2ec018cc', 2.0), ('ae15f3b9-e9a7-4cfa-902f-b495e0f71173', 1.0), ('b254ff21-e539-4b23-9872-cdf67558485f', 1.0), ('b978dc11-de98-434e-9537-866ce7c21cd8', 1.0), ('c67cd68a-19ab-4713-8eb2-6b2e90d747da', 1.0), ('d0b40a5f-0d82-4008-ab75-6dda1836df6d', 1.0), ('d76cf733-44c7-4ca8-9ccb-21f7cfa656c6', 1.0), ('f06fc4c9-17c3-4c6a-acbb-a0d0f0ebd641', 1.0)]"
1,semantic_only,DS1-E-0005,births by month,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],"[('0cbb09dc-4012-4f18-900e-6d746bfc10d3', 1.0), ('1560c507-f481-4f83-a9e1-94f42cb34aab', 1.0), ('194cb4ba-11d0-4eed-b8d3-57e1725cf4a0', 1.0), ('2a3cc123-f9f6-4e1d-a03f-3e33056e5021', 1.0), ('36a83d21-e85b-4d47-81e2-881de67f8077', 1.0), ('36c663d3-b1c2-4144-be5f-d20a54ecdd1b', 1.0), ('579261e5-5c44-44c5-a948-8c47c9e63f66', 1.0), ('62acddae-6081-4f24-b3ad-b69877c0a8d9', 1.0), ('8118cae0-9b48-45b3-98d5-e7da43dfbd4c', 1.0), ('8f0c5c2c-9bf1-4c6c-a252-25a2b5864ec2', 1.0), ('ab3f98ec-5fdd-43ba-9d0a-65fb95e11096', 2.0), ('ac38f50b-5f98-4f14-9ae9-963e758ad308', 1.0), ('cc5e0119-2368-415b-8ce9-560a74ac32ee', 1.0), ('f0eafc8f-5bb9-4d1c-809b-2b6f2c821856', 1.0)]","[('0cbb09dc-4012-4f18-900e-6d746bfc10d3', 1.0), ('1560c507-f481-4f83-a9e1-94f42cb34aab', 1.0), ('194cb4ba-11d0-4eed-b8d3-57e1725cf4a0', 1.0), ('2a3cc123-f9f6-4e1d-a03f-3e33056e5021', 1.0), ('36a83d21-e85b-4d47-81e2-881de67f8077', 1.0), ('36c663d3-b1c2-4144-be5f-d20a54ecdd1b', 1.0), ('579261e5-5c44-44c5-a948-8c47c9e63f66', 1.0), ('62acddae-6081-4f24-b3ad-b69877c0a8d9', 1.0), ('8118cae0-9b48-45b3-98d5-e7da43dfbd4c', 1.0), ('8f0c5c2c-9bf1-4c6c-a252-25a2b5864ec2', 1.0), ('ab3f98ec-5fdd-43ba-9d0a-65fb95e11096', 2.0), ('ac38f50b-5f98-4f14-9ae9-963e758ad308', 1.0), ('cc5e0119-2368-415b-8ce9-560a74ac32ee', 1.0), ('f0eafc8f-5bb9-4d1c-809b-2b6f2c821856', 1.0)]"
1,semantic_only,DS1-E-0006,cost of raising beef cattle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],"[('00a002eb-ec29-409d-b72d-e012a6bb3590', 2.0), ('037b9743-5bb2-4d4b-a461-57d8391fc1e5', 1.0), ('086fab0f-14fe-44b6-89fe-2f576ca732c9', 1.0), ('1256e4d7-40c9-4444-adce-ac0ece7bc77e', 1.0), ('1cf538f9-5e17-4cce-93ee-e2d60b42ea55', 1.0), ('335fb2ce-0659-4c78-bf9e-a5a1e2da9722', 1.0), ('3e10d993-ec0a-4bec-9f65-36d68165dadd', 1.0), ('4211aeb6-8f69-4855-bc97-726285568ea8', 1.0), ('6a257419-d0c5-4bf7-9b72-2558659c90ae', 1.0), ('784f245b-d6dc-43b8-a199-08c9e3c92219', 1.0), ('86bbac1e-b014-4e09-b415-dae14c813005', 1.0), ('8ceda8cc-e60f-4501-84db-4ee822dbbbc7', 1.0), ('d0bedde3-45f1-415d-9565-1aa840bdfea3', 1.0), ('d6860d6e-3f83-4d60-a791-1654ba63f205', 1.0), ('ef549d79-ead0-4d6d-b85c-0ba0a8f17179', 2.0), ('f115cf1c-bd8d-406b-a7b8-9913d3b554ae', 1.0)]","[('00a002eb-ec29-409d-b72d-e012a6bb3590', 2.0), ('037b9743-5bb2-4d4b-a461-57d8391fc1e5', 1.0), ('086fab0f-14fe-44b6-89fe-2f576ca732c9', 1.0), ('1256e4d7-40c9-4444-adce-ac0ece7bc77e', 1.0), ('1cf538f9-5e17-4cce-93ee-e2d60b42ea55', 1.0), ('335fb2ce-0659-4c78-bf9e-a5a1e2da9722', 1.0), ('3e10d993-ec0a-4bec-9f65-36d68165dadd', 1.0), ('4211aeb6-8f69-4855-bc97-726285568ea8', 1.0), ('6a257419-d0c5-4bf7-9b72-2558659c90ae', 1.0), ('784f245b-d6dc-43b8-a199-08c9e3c92219', 1.0), ('86bbac1e-b014-4e09-b415-dae14c813005', 1.0), ('8ceda8cc-e60f-4501-84db-4ee822dbbbc7', 1.0), ('d0bedde3-45f1-415d-9565-1aa840bdfea3', 1.0), ('d6860d6e-3f83-4d60-a791-1654ba63f205', 1.0), ('ef549d79-ead0-4d6d-b85c-0ba0a8f17179', 2.0), ('f115cf1c-bd8d-406b-a7b8-9913d3b554ae', 1.0)]"
1,semantic_only,DS1-E-0007,people can't drive large trailers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],"[('4a8e7693-6372-447e-8800-504edd740010', 1.0), ('4ea7c99a-c98c-4b59-a4bf-58f75053346b', 1.0), ('604a3f21-a9e7-4a4f-a56c-30cccaeda92c', 1.0), ('76883150-f60e-4fb6-a09a-d57605e7ca17', 1.0), ('b57368a0-8ae9-426d-9933-e412c5bc018d', 1.0)]","[('4a8e7693-6372-447e-8800-504edd740010', 1.0), ('4ea7c99a-c98c-4b59-a4bf-58f75053346b', 1.0), ('604a3f21-a9e7-4a4f-a56c-30cccaeda92c', 1.0), ('76883150-f60e-4fb6-a09a-d57605e7ca17', 1.0), ('b57368a0-8ae9-426d-9933-e412c5bc018d', 1.0)]"
1,semantic_only,DS1-E-0008,dispatched workers us,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],"[('0ab15a25-b3cc-47d1-a6a3-05e363fb4ba0', 1.0), ('1246682a-b8b4-42a2-92b7-8f19d11d6f42', 1.0), ('1d3106e3-3c5f-40c1-b6a1-ee17cb846865', 1.0), ('3677204d-80e7-49a8-af3a-450c3778488e', 1.0), ('3f1ae140-c7d6-457c-b11b-12e78f7949cc', 1.0), ('41e7b90c-c51b-44b0-9bf9-ececb5798d5b', 1.0), ('4390538d-a871-4187-99d8-348736cac6d8', 1.0), ('44ce1868-0c42-4c64-8284-3f1ff7f5a326', 1.0), ('4e4c5dbb-fcd4-4718-afb5-8e11b5b90413', 1.0), ('4e8c73d7-66a8-4624-97e8-e58788bf96db', 1.0), ('52c2e522-e182-4685-913d-a16a7449e847', 1.0), ('646391a5-382c-46ca-b172-82b20c8f83a8', 1.0), ('65020636-cbbe-48ed-87c6-5451c8445453', 1.0), ('7956ba76-2ea7-406a-bff2-98dc8361ffc6', 1.0), ('804b3231-ff48-4566-b9a7-fba683868f9a', 1.0), ('843f68f3-09e2-4e30-8eaa-23308cb3faf9', 1.0), ('864c2710-e076-4592-93b0-8d310f812b25', 1.0), ('8b16a9b8-ed6f-425b-acb8-948498ff9578', 1.0), ('9ba561ed-62c5-4b38-b345-865d02b32483', 1.0), ('a78412b2-0c57-44b4-8deb-1d923a07f6b3', 1.0), ('b8b65936-2e4a-429c-8c7e-2af82e37bf29', 1.0), ('db121a94-dfad-4f6c-91ad-d594d9d2a92d', 1.0), ('f8d98c85-e284-43a1-ad52-4ea5cf121883', 1.0)]","[('0ab15a25-b3cc-47d1-a6a3-05e363fb4ba0', 1.0), ('1246682a-b8b4-42a2-92b7-8f19d11d6f42', 1.0), ('1d3106e3-3c5f-40c1-b6a1-ee17cb846865', 1.0), ('3677204d-80e7-49a8-af3a-450c3778488e', 1.0), ('3f1ae140-c7d6-457c-b11b-12e78f7949cc', 1.0), ('41e7b90c-c51b-44b0-9bf9-ececb5798d5b', 1.0), ('4390538d-a871-4187-99d8-348736cac6d8', 1.0), ('44ce1868-0c42-4c64-8284-3f1ff7f5a326', 1.0), ('4e4c5dbb-fcd4-4718-afb5-8e11b5b90413', 1.0), ('4e8c73d7-66a8-4624-97e8-e58788bf96db', 1.0), ('52c2e522-e182-4685-913d-a16a7449e847', 1.0), ('646391a5-382c-46ca-b172-82b20c8f83a8', 1.0), ('65020636-cbbe-48ed-87c6-5451c8445453', 1.0), ('7956ba76-2ea7-406a-bff2-98dc8361ffc6', 1.0), ('804b3231-ff48-4566-b9a7-fba683868f9a', 1.0), ('843f68f3-09e2-4e30-8eaa-23308cb3faf9', 1.0), ('864c2710-e076-4592-93b0-8d310f812b25', 1.0), ('8b16a9b8-ed6f-425b-acb8-948498ff9578', 1.0), ('9ba561ed-62c5-4b38-b345-865d02b32483', 1.0), ('a78412b2-0c57-44b4-8deb-1d923a07f6b3', 1.0), ('b8b65936-2e4a-429c-8c7e-2af82e37bf29', 1.0), ('db121a94-dfad-4f6c-91ad-d594d9d2a92d', 1.0), ('f8d98c85-e284-43a1-ad52-4ea5cf121883', 1.0)]"
1,semantic_only,DS1-E-0009,many people second house,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],"[('0eb2b9a2-1448-4f8e-b9ae-46f9c64a6f0c', 1.0), ('12711c3f-3db5-46b7-abf8-5ab9cab56712', 1.0), ('1a8cd9d7-36b8-48f7-a046-683dcccec0eb', 1.0), ('265ca344-1b2a-4fa2-8bf8-5898103e3bd8', 1.0), ('2ff83424-927a-40ac-93f6-432df418c833', 1.0), ('35a60387-4e09-44c7-ab8d-b0b86088d782', 1.0), ('3dc92cbf-d92b-479d-b3da-140007303c16', 2.0), ('492fdfb6-6801-4dbe-925c-f55e99aeef1c', 1.0), ('578177eb-5b7a-4415-bb2e-18d36a557a49', 1.0), ('6bbc329a-b591-4c63-ba2e-f7644dda8a5b', 1.0), ('72bb2c4c-c841-49a1-8616-9f2388f0ad10', 1.0), ('7fd16551-7401-4639-8b45-46f54f0dd9a3', 1.0), ('8505a7da-1821-403b-b430-e76e4b88ce06', 1.0), ('9245a456-36cf-423b-9a7c-25c4113b9d9a', 1.0), ('bb182c01-84c2-498a-b1d0-8963d77be3f0', 1.0), ('c5535208-ea67-4a02-a0f9-4877df618ebe', 2.0), ('cf32b1bc-734b-4470-9cee-9bb34029746e', 1.0), ('d66b1ebf-4c84-4615-87a7-87eb1541b2c3', 1.0), ('e55bed14-cbe4-44c4-9b93-23939f333499', 1.0), ('e8450870-0e03-4a62-bf08-3ddd19aa5ddb', 2.0), ('f5a96e1e-fc08-42eb-8420-2d17e000a53d', 1.0)]","[('0eb2b9a2-1448-4f8e-b9ae-46f9c64a6f0c', 1.0), ('12711c3f-3db5-46b7-abf8-5ab9cab56712', 1.0), ('1a8cd9d7-36b8-48f7-a046-683dcccec0eb', 1.0), ('265ca344-1b2a-4fa2-8bf8-5898103e3bd8', 1.0), ('2ff83424-927a-40ac-93f6-432df418c833', 1.0), ('35a60387-4e09-44c7-ab8d-b0b86088d782', 1.0), ('3dc92cbf-d92b-479d-b3da-140007303c16', 2.0), ('492fdfb6-6801-4dbe-925c-f55e99aeef1c', 1.0), ('578177eb-5b7a-4415-bb2e-18d36a557a49', 1.0), ('6bbc329a-b591-4c63-ba2e-f7644dda8a5b', 1.0), ('72bb2c4c-c841-49a1-8616-9f2388f0ad10', 1.0), ('7fd16551-7401-4639-8b45-46f54f0dd9a3', 1.0), ('8505a7da-1821-403b-b430-e76e4b88ce06', 1.0), ('9245a456-36cf-423b-9a7c-25c4113b9d9a', 1.0), ('bb182c01-84c2-498a-b1d0-8963d77be3f0', 1.0), ('c5535208-ea67-4a02-a0f9-4877df618ebe', 2.0), ('cf32b1bc-734b-4470-9cee-9bb34029746e', 1.0), ('d66b1ebf-4c84-4615-87a7-87eb1541b2c3', 1.0), ('e55bed14-cbe4-44c4-9b93-23939f333499', 1.0), ('e8450870-0e03-4a62-bf08-3ddd19aa5ddb', 2.0), ('f5a96e1e-fc08-42eb-8420-2d17e000a53d', 1.0)]"
1,semantic_only,DS1-E-0010,pc ownership by country,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['d43634ad-8dd5-44ce-9a51-b47ed2870a20', '01d60658-6b0f-416c-add9-273ed344b68a', 'fab7a301-8117-4db3-bfb5-26c3f38e6b2a', '330dd810-8669-42bf-bd74-696c33fa10e0', '46ded787-a421-4561-8d41-177e98416c7f', 'bd61da07-f2bb-4738-ac74-13abd9622b23', '1cac7afd-d51d-4650-8ccb-329bfafc37df', '1bc25632-76f2-4f8c-8e7b-ec190f417e2e', 'c18b46ea-5967-4e0d-baa9-b21cfbaa0ce0', '36af6cf2-540e-45d0-9053-13e61189f76b', '424c7c68-9697-487f-a8a7-7adc2352ba9a', '6845e97a-df81-44bc-a3cc-ea051a7f7b05', '9c03a575-87a7-40bd-b67d-e647241f2da7', 'a9d04989-845d-442f-80b0-16ee330db253', 'c32bf560-ffe7-4625-822d-e476359cdbb6', 'c89d7289-4b6f-4b68-a0b5-fb3e651b4f88', 'd7d6690a-68e9-47fc-a795-029621910685', 'dcfb94de-45a0-4b67-9eff-2d742c750ac2', 'e0bbed4a-4f39-43a6-8dd2-eb659f582430', '93f697ba-b63a-46cd-8132-006e075e21e9', '26bcb74e-6eca-4a75-a325-654e6bef02ea', '30957823-be2d-44df-b5fe-f55905127641', '4007915d-ac9f-49e2-afbc-d9692f54cfa7', '466765e9-0c23-406a-b45a-441d5dfa7647', '655a48de-4644-48a5-955f-d88d48e9d6c1', '7302197d-dd2d-48b5-b751-f1d3b8613413', '7868d27f-a65b-4f49-947a-fa6a6b71ebac', '7da0d79e-45e2-4e4c-b39b-4c8ca1c8106a', 'ae355c91-0da4-45c4-80fc-8c81edcb2956', 'd874f80f-114c-48d7-8e83-2566fd69d602', 'ece1789d-d37d-4f59-b2d7-4e97e9856bfe', '0b22e9f2-72a7-4ed7-859c-6d71cd81171f', '2160be6b-1dd9-47b3-b9dc-7f9d91231195', '35293232-605e-477e-becc-850a97e282cd', '4598b400-7ae3-4a3d-bc08-2e032bcee51a', '5a3a90a9-c5a4-4a98-ac93-e5de91f050b7', '6a739d75-2391-49fb-b019-746a8e4b9d5f', '6eeb4234-8251-451c-9e61-0ca841471d94', '8e17c9bb-db10-4909-ad25-3881729a1d39', '8f2bc31f-06b3-4862-92df-562ac1feba0a', '907c7636-2a9c-49a2-9205-2db03cde7cbb', '90b2b787-f812-4dbb-aaf7-9fb7c7fe19b0', 'a0ab4565-5541-418d-b786-391e49aa63f4', 'b1ade5ec-6c33-48bd-9c92-4507a08843c6', 'c122cc52-9242-41ff-8632-c80bbd4026e1', 'c2a6cfd0-b984-4a05-abc9-5e8642503df1', 'd1a16800-ce6b-4ba9-861c-d6f6f48de0a9', 'e4231098-001e-47e7-bf96-dc50b913a5c6', 'f2d592c1-225e-4d37-ab84-63b9d2b6d458', 'f6b4bc51-c141-48d9-9625-f9c687146cc1']","[4.096825, 3.9990115, 3.9990115, 3.8899062, 3.6377454, 3.5752873, 3.4568505, 3.3737288, 3.3737288, 3.3578095, 3.3578095, 3.3578095, 3.3578095, 3.3578095, 3.3578095, 3.3578095, 3.3578095, 3.3578095, 3.3578095, 3.322097, 3.172328, 3.172328, 3.172328, 3.172328, 3.172328, 3.172328, 3.172328, 3.172328, 3.172328, 3.172328, 3.172328, 3.0785294, 3.0785294, 3.0785294, 3.0785294, 3.0785294, 3.0785294, 3.0785294, 3.0785294, 3.0785294, 3.0785294, 3.0785294, 3.0785294, 3.0785294, 3.0785294, 3.0785294, 3.0785294, 3.0785294, 3.0785294, 3.0785294]","[('188dfd71-dc8b-4698-91f8-29e7d1633cda', 1.0), ('2691774b-6535-486d-bfc7-a8b7ddbd454c', 1.0), ('2ac3b09e-dc91-4b8f-bd96-00024a478c4d', 1.0), ('8a838901-a254-4af5-bf4b-3631da1432c6', 1.0), ('abcda65e-091b-42be-8cad-8541350c7888', 1.0), ('d5adf5f3-3960-4348-8bae-a9460dbb63d7', 1.0), ('e5cea66b-a374-4ff0-9387-026fe85a31cb', 1.0)]","[('188dfd71-dc8b-4698-91f8-29e7d1633cda', 1.0), ('2691774b-6535-486d-bfc7-a8b7ddbd454c', 1.0), ('2ac3b09e-dc91-4b8f-bd96-00024a478c4d', 1.0), ('8a838901-a254-4af5-bf4b-3631da1432c6', 1.0), ('abcda65e-091b-42be-8cad-8541350c7888', 1.0), ('d5adf5f3-3960-4348-8bae-a9460dbb63d7', 1.0), ('e5cea66b-a374-4ff0-9387-026fe85a31cb', 1.0)]"
