,nDCG@5,nDCG@10,nDCG@50,p@5,p@10,p@50,r@5,r@10,r@50
basic,0.15218872,0.16037878,0.19700275,0.15857989,0.12485208,0.047458433,0.106365815,0.16643739,0.2856411
basic_semantics,0.15218872,0.16028467,0.19689901,0.15857989,0.12485208,0.047458433,0.106365815,0.16643739,0.2856411
basic_semantics_s10,0.15218872,0.16028467,0.19689901,0.15857989,0.12485208,0.047458433,0.106365815,0.16643739,0.2856411
basic_semantics_s20,0.15218872,0.16028467,0.1969014,0.15857989,0.12485208,0.047458433,0.106365815,0.16643739,0.2856411
basic_semantics_s30,0.15218872,0.16028467,0.19689614,0.15857989,0.12485208,0.047458433,0.106365815,0.16643739,0.2856411
basic_semantics_s40,0.15218872,0.16028467,0.19688962,0.15857989,0.12485208,0.047458433,0.106365815,0.16643739,0.2856411
basic_semantics_s50,0.15218872,0.16037878,0.19698422,0.15857989,0.12485208,0.047458433,0.106365815,0.16643739,0.2856411
basic_semantics_s60,0.15218872,0.16028467,0.19688533,0.15857989,0.12485208,0.047458433,0.106365815,0.16643739,0.2856411
basic_semantics_s70,0.15218872,0.16037878,0.19698505,0.15857989,0.12485208,0.047458433,0.106365815,0.16643739,0.2856411
basic_semantics_s80,0.15218872,0.16037878,0.19698034,0.15857989,0.12485208,0.047458433,0.106365815,0.16643739,0.2856411
basic_semantics_s90,0.15218872,0.16037878,0.19698273,0.15857989,0.12485208,0.047458433,0.106365815,0.16643739,0.2856411
basic_semantics_s95,0.15218872,0.16037878,0.19698277,0.15857989,0.12485208,0.047458433,0.106365815,0.16643739,0.2856411
basic_semantics_s98,0.15218872,0.16037878,0.19747731,0.15857989,0.12485208,0.04757678,0.106365815,0.16643739,0.2876135
basic_semantics_s99,0.15218872,0.16037878,0.19749127,0.15857989,0.12485208,0.04757678,0.106365815,0.16643739,0.2876135
basic_colnames,0.13821465,0.13977109,0.18327688,0.14319527,0.11005917,0.045202892,0.096894346,0.1392355,0.2772033
deprived_semantics,0.08415452,0.08481478,0.106578626,0.090236686,0.07226683,0.04514804,0.05658996,0.0753021,0.13778481
deprived_semantics_s10,0.08415452,0.08481478,0.106578626,0.090236686,0.07226683,0.04514804,0.05658996,0.0753021,0.13778481
deprived_semantics_s20,0.08415452,0.08481478,0.10706917,0.090236686,0.07226683,0.04526639,0.05658996,0.0753021,0.13975719
deprived_semantics_s30,0.08415452,0.08481478,0.10657825,0.090236686,0.07226683,0.04514804,0.05658996,0.0753021,0.13778481
deprived_semantics_s40,0.08415452,0.08481478,0.10686897,0.090236686,0.07226683,0.04526639,0.05658996,0.0753021,0.13832273
deprived_semantics_s50,0.08415452,0.08481478,0.107359916,0.090236686,0.07226683,0.045384727,0.05658996,0.0753021,0.14029512
deprived_semantics_s60,0.08415452,0.08481478,0.106962,0.090236686,0.07226683,0.04514804,0.05658996,0.0753021,0.13940912
deprived_semantics_s70,0.08415452,0.08478158,0.10720394,0.090236686,0.07226683,0.04526639,0.05658996,0.0753021,0.13994704
deprived_semantics_s80,0.08415452,0.08478158,0.10720389,0.090236686,0.07226683,0.04526639,0.05658996,0.0753021,0.13994704
deprived_semantics_s90,0.08349571,0.0845099,0.1079682,0.08905326,0.07226683,0.045503076,0.056134794,0.0753021,0.14389183
deprived_semantics_s95,0.08311033,0.084230684,0.10774606,0.08905326,0.07226683,0.045503076,0.056134794,0.0753021,0.14389183
deprived_semantics_s98,0.08311033,0.083838336,0.10802725,0.08905326,0.07167512,0.045621414,0.056134794,0.07464464,0.14423989
deprived_semantics_s99,0.08092648,0.081125826,0.105344966,0.08905326,0.07049169,0.045317102,0.056134794,0.073734306,0.14287439
title_only,0.08415452,0.08481478,0.107341565,0.090236686,0.07226683,0.04602507,0.05658996,0.0753021,0.14146426
semantic_only,0.0,0.00037645438,0.00087936735,0.0,0.000591716,0.00035502957,0.0,0.00034806822,0.0011146638
deprived_colnames,0.056028817,0.058644295,0.08588517,0.052366868,0.045585614,0.031350724,0.031752206,0.05495422,0.12879325
exclude_desc,0.084677786,0.09056616,0.121424966,0.08994083,0.07790927,0.040963832,0.07058831,0.10099668,0.18155487
exclude_attr,0.14670081,0.15886156,0.19457623,0.1550296,0.12544379,0.047221746,0.09434702,0.16407749,0.28351346
exclude_tags,0.1622079,0.16656111,0.19979823,0.16094676,0.12366865,0.04641203,0.108000465,0.16535452,0.2777689
